Accel World: Kasoku no Chouten,Unreleased,Unreleased,"January 31, 2013",Unreleased,Namco Bandai Games,Namco Bandai Games
Ace Combat X: Skies of Deception,"October 23, 2006","November 17, 2006","October 26, 2006","November 16, 2006",Namco Bandai Games,Namco Bandai Games
Ace Combat: Joint Assault,"August 31, 2010","September 24, 2010","August 26, 2010","September 23, 2010",Namco Bandai Games,Namco Bandai Games
Aces of War,Unreleased,"March 23, 2007","December 22, 2005",Unreleased,Taito Corporation,Taito / 505 Games
Activision Hits: Remixed,"November 8, 2006","February 9, 2007",Unreleased,"February 14, 2007",Digital Eclipse,Activision
Adventures to Go!,"October 27, 2009","February 26, 2010",Unreleased,Unreleased,Global A Entertainment,Natsume
Adventure Player,Unreleased,Unreleased,"June 30, 2005",Unreleased,FromSoftware,FromSoftware
Aedis Eclipse: Generation of Chaos,"April 24, 2007",Unreleased,"May 25, 2006",Unreleased,Idea Factory,Idea Factory
AFL Challenge,Unreleased,Unreleased,Unreleased,"September 10, 2009",Wicked Witch Software,Sony Computer Entertainment
After Burner: Black Falcon,"March 20, 2007","March 30, 2007",Unreleased,"April 12, 2007",Planet Moon Studios,Sega
Agarest Senki Marriage,Unreleased,Unreleased,"July 19, 2012",Unreleased,Felistella,Compile Heart
AI Igo,Unreleased,Unreleased,"December 22, 2004",Unreleased,Marvelous Entertainment,Marvelous Entertainment
AI Mahjong,Unreleased,Unreleased,"December 22, 2004",Unreleased,Marvelous Entertainment,Marvelous Entertainment
AI Shogi,Unreleased,Unreleased,"January 20, 2005",Unreleased,Marvelous Entertainment,Marvelous Entertainment
Ailu de Puzzle,Unreleased,Unreleased,"July 19, 2012",Unreleased,Natsume Atari Inc.,Capcom
Air,Unreleased,Unreleased,"November 22, 2007",Unreleased,Prototype,Prototype
Air Conflicts: Aces of World War II,"April 14, 2009",Unreleased,Unreleased,Unreleased,Cowboy Rodeo,Graffiti Entertainment
Akane Iro ni Somaru Saka Portable,Unreleased,Unreleased,"December 17, 2009",Unreleased,LukPlus,GN Software
Akatsuki no Amaneka to Aoi Kyojin,Unreleased,Unreleased,"March 11, 2010",Unreleased,Kogado Studio,CyberFront
Akatsuki no Goei Trinity,Unreleased,Unreleased,"September 20, 2012",Unreleased,M2,5pb
Akaya Akashiya Ayakashino,Unreleased,Unreleased,"February 13, 2014",Unreleased,noctiluca,noctiluca
AKB1/48: Idol to Guam de Koishitara,Unreleased,Unreleased,"October 6, 2011",Unreleased,Bandai Namco Games,Bandai Namco Games
AKB1/48: Idol to Koishitara...,Unreleased,Unreleased,"December 23, 2010",Unreleased,Bandai Namco Games,Bandai Namco Games
AKB1/149: Renai Sousenkyo,Unreleased,Unreleased,"December 20, 2012",Unreleased,Bandai Namco Games,Bandai Namco Games
Akiba's Trip,Unreleased,Unreleased,"May 19, 2011",Unreleased,Acquire,Acquire
Akiba's Trip Plus,Unreleased,Unreleased,"June 14, 2012",Unreleased,Acquire,Acquire
Akudaikan Manyuuki,Unreleased,Unreleased,"November 30, 2006",Unreleased,Global A,Global A
Akudaikan Manyuuki: Seigi no Yaiba,Unreleased,Unreleased,"February 22, 2007",Unreleased,Global A,Global A
The Akuma Hunters: Exorsister,Unreleased,Unreleased,"December 23, 2009",Unreleased,Tamsoft,D3Publisher
Alien Syndrome,"July 24, 2007","September 7, 2007",Unreleased,"September 13, 2007",Totally Games,Sega
Aliens vs. Predator: Requiem,"November 13, 2007","November 30, 2007",Unreleased,"December 6, 2007",Rebellion Developments,Sierra Entertainment
All Kamen Rider: Rider Generation 2,Unreleased,Unreleased,"August 2, 2012",Unreleased,Namco Bandai Games,Namco Bandai Games
Alpha Mission II,"January 18, 2011",Unreleased,Unreleased,Unreleased,SNK Playmore,SNK Playmore
Amagami,Unreleased,Unreleased,"March 31, 2011",Unreleased,Kadokawa,Kadokawa
"Amagoushi no Yakata Portable: Ichiyagi Wa, Saisho no Junan",Unreleased,Unreleased,"September 17, 2009",Unreleased,Nippon Ichi Software,Nippon Ichi Software
Amatsumi Sora ni! Kumo no Hatate ni,Unreleased,Unreleased,"February 16, 2012",Unreleased,Prototype,Prototype
Amnesia,Unreleased,Unreleased,"August 18, 2011",Unreleased,Idea Factory,Idea Factory
Amnesia: Crowd,Unreleased,Unreleased,"April 18, 2013",Unreleased,Idea Factory,Idea Factory
Amnesia: Later,Unreleased,Unreleased,"March 15, 2012",Unreleased,Idea Factory,Idea Factory
Anata o Yurusanai,Unreleased,Unreleased,"November 15, 2007",Unreleased,Zener Works  Cavia Inc.,AQ Interactive
Angelique Retour,Unreleased,Unreleased,"December 17, 2015",Unreleased,Koei Tecmo Games,Koei Tecmo Games
Angelique: Maren no Roku Kishi,Unreleased,Unreleased,"November 17, 2011",Unreleased,Idea Factory,Idea Factory
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,Unreleased,Unreleased,"August 30, 2012",Unreleased,5pb,5pb
Another Century's Episode Portable,Unreleased,Unreleased,"January 13, 2011",Unreleased,FromSoftware,Bandai Namco Games
Antiphona no Seikahime: Tenshi no Score Op.A,Unreleased,Unreleased,"October 22, 2009",Unreleased,O-TWO,Nippon Ichi Software
Ao no Exorcist: Genkoku no Labyrinth,Unreleased,Unreleased,"April 26, 2012",Unreleased,Bandai Namco Games,Bandai Namco Games
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2,Unreleased,Unreleased,"August 9, 2012",Unreleased,CyberFront,CyberFront
Aoi Umi no Tristia Portable: Nanoca Flanka Hatsumei Koubouki,Unreleased,Unreleased,"August 9, 2012",Unreleased,CyberFront,CyberFront
Ape Academy 2,Unreleased,"September 29, 2006","December 15, 2005","October 19, 2006",Shift,SCEI / SCEE / SCEI
Ape Escape Academy Ape Academy,"January 17, 2006","September 1, 2005","December 30, 2004",Unreleased,SCEI,SCEI / SCEE / SCEA
Ape Escape: On the Loose Ape Escape P,"March 24, 2005","May 5, 2006","March 17, 2005",Unreleased,SCEA,SCEI / SCEA / SCEE
Ape Quest,"January 10, 2008","May 1, 2008","March 19, 2009",Unreleased,Japan Studio,SCEA / SCEE
Arabians Doubt,Unreleased,Unreleased,"January 30, 2014",Unreleased,Quinrose,Quinrose
Arabians Lost,Unreleased,Unreleased,"June 28, 2012",Unreleased,Quinrose,Quinrose
Arcana Famiglia 2,Unreleased,Unreleased,"November 14, 2013",Unreleased,Comfort,Comfort
Arcana Famiglia: Festa Regalo,Unreleased,Unreleased,"December 13, 2012",Unreleased,Comfort,Comfort
Arcana Famiglia: La storia della Aracana Famiglia,Unreleased,Unreleased,"October 27, 2011",Unreleased,Comfort,Comfort
Arcana Famiglia: Vascello Phantasma no Majutsushi,Unreleased,Unreleased,"June 21, 2012",Unreleased,Comfort,Comfort
Archer Maclean's Mercury,"April 6, 2005","September 1, 2005","August 4, 2005",Unreleased,Awesome Studios,Ignition / SCEI
Arcobaleno! Portable,Unreleased,Unreleased,"January 28, 2010",Unreleased,Idea Factory,Idea Factory
Are You Alice?,Unreleased,Unreleased,"April 7, 2011",Unreleased,Otomate,Idea Factory
Armen Noir Portable,Unreleased,Unreleased,"April 12, 2012",Unreleased,Idea Factory,Idea Factory
Armored Core: Formula Front,"December 15, 2005","March 3, 2006","December 12, 2004",Unreleased,FromSoftware,From / Agetec / 505
Armored Core: Last Raven Portable,Unreleased,Unreleased,"March 4, 2010",Unreleased,FromSoftware,FromSoftware
Armored Core: Silent Line Portable,Unreleased,Unreleased,"February 3, 2010",Unreleased,FromSoftware,FromSoftware
Armored Core 3 Portable,"October 22, 2009",Unreleased,"July 30, 2009",Unreleased,FromSoftware,From / Agetec / 505
Arms' Heart,Unreleased,Unreleased,"November 25, 2010",Unreleased,Hamster,Hamster
Army of Two: The 40th Day[1],"January 12, 2010","January 15, 2010","June 24, 2010","January 14, 2010",EA Montreal,Electronic Arts
Art of Fighting,"January 18, 2011",Unreleased,Unreleased,Unreleased,SNK Playmore,SNK Playmore
Arthur and the Invisibles Arthur and the Minimoys,Unreleased,"February 17, 2007",Unreleased,"May 18, 2006",Étranges Libellules,Atari
"Asaki, Yumemishi",Unreleased,Unreleased,"April 28, 2011",Unreleased,Quinrose,Quinrose
Asphalt: Urban GT 2,Unreleased,"March 23, 2007",Unreleased,"March 22, 2007",Gameloft,Ubisoft
Assassin's Creed: Bloodlines[2],"November 17, 2009","November 20, 2009","December 23, 2009","November 19, 2009",Griptonite Games,Ubisoft
Asterix & Obelix XXL 2 - Mission: Wifix,Unreleased,"November 17, 2006",Unreleased,Unreleased,Étranges Libellules,Atari
Astro Boy: The Video Game,"October 20, 2009","February 15, 2010","October 8, 2009","October 23, 2009",High Voltage Software,D3 Publisher
Astonishia Story,"June 6, 2006","June 23, 2006","September 28, 2006","June 23, 2006",Sonnori,Ubisoft / Compile Heart
Atari Classics Evolved,"December 19, 2007",Unreleased,Unreleased,"March 7, 2008",Stainless Games,Atari
ATV Offroad Fury Pro,"October 26, 2006","June 20, 2008",Unreleased,"June 26, 2008",Climax Group,SCEA / SCEE
ATV Offroad Fury: Blazin' Trails,"April 19, 2005","February 10, 2006",Unreleased,Unreleased,Climax Group,SCEA / SouthPeak Games
Audition Portable,Unreleased,Unreleased,"June 4, 2007",Unreleased,T3 Entertainment,T3 Entertainment
Auditorium,"January 4, 2011","January 4, 2011",Unreleased,Unreleased,Cipher Prime,Zoo Games
Avatar: The Last Airbender Avatar: The Legend of Aang,"October 10, 2006","February 9, 2007",Unreleased,"February 8, 2007",THQ Studio Australia,THQ
Ayakashibito Portable,Unreleased,Unreleased,"March 19, 2009",Unreleased,HuneX,Dimple Entertainment
B's LOG Party,Unreleased,Unreleased,"May 20, 2010",Unreleased,Idea Factory,Idea Factory
B-Boy,"September 23, 2008","September 29, 2006",Unreleased,"October 12, 2006",FreeStyleGames,SCEE / SouthPeak Games
Baka to Test to Shoukanjuu Portable,Unreleased,Unreleased,"December 13, 2012",Unreleased,Kadokawa,Kadokawa
Bakemonogatari Portable,Unreleased,Unreleased,"August 23, 2012",Unreleased,Namco Bandai Games,Namco Bandai Games
Bakugan: Defenders of the Core,"October 26, 2010","October 29, 2010",Unreleased,Unreleased,Namco Bandai Games,Namco Bandai Games
Bakumatsu * Ishinden,Unreleased,Unreleased,"June 25, 2010",Unreleased,Acquire,SCEI
Bakumatsu Rock,Unreleased,Unreleased,"February 27, 2014",Unreleased,Marvelous AQL,Konami
Bakumatsu Rock: Ultra Soul,Unreleased,Unreleased,"September 25, 2014",Unreleased,Marvelous AQL,Konami
Ball Pen Koujou 2,Unreleased,Unreleased,"April 22, 2010",Unreleased,SCEI,SCEI
Bamboo Blade: Sorekara no Chousen,Unreleased,Unreleased,"May 28, 2009",Unreleased,Gadget Soft,Gadget Soft
Bara no Ki Ni: Bara no Hansaku,Unreleased,Unreleased,"December 22, 2010",Unreleased,Art Move,Art Move
Battle Dodge Ball 3,Unreleased,Unreleased,"February 26, 2013",Unreleased,Namco Bandai Games,Namco Bandai Games
Battle Robot Damashii,Unreleased,Unreleased,"February 14, 2013",Unreleased,Namco Bandai Games,Namco Bandai Games
Battle Spirits: Hero's Soul,Unreleased,Unreleased,"March 11, 2010",Unreleased,Bandai Namco Games,Bandai Namco Games
Battle Spirits: Kiseki no Hasha,Unreleased,Unreleased,"November 12, 2009",Unreleased,Dimps,Bandai Namco Games
Battle Zone,"November 6, 2006","February 9, 2007",Unreleased,"November 24, 2006",Paradigm Entertainment,Atari
Beats,"December 6, 2007","November 30, 2007",Unreleased,Unreleased,London Studio,SCEA / SCEI
Bejeweled 2,"June 28, 2010","June 28, 2010",Unreleased,"June 28, 2010",PopCap Games,PopCap Games
Ben 10: Alien Force,"October 28, 2008","February 13, 2009",Unreleased,"November 24, 2008",Monkey Bar Games,D3 Publisher
Ben 10 Alien Force: Vilgax Attacks[3],"October 27, 2009","March 12, 2010",Unreleased,"November 12, 2009",D3 Publisher,D3 Publisher
Ben 10: Protector of Earth,"October 30, 2007","November 9, 2007",Unreleased,"November 14, 2007",High Voltage Software,D3 Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,"October 5, 2010","February 11, 2011",Unreleased,"February 10, 2011",Papaya Studio,D3 Publisher
Beowulf: The Game,"December 4, 2007","December 14, 2007",Unreleased,"December 13, 2007",Ubisoft,Ubisoft
Beta Bloc,"December 2, 2009","June 29, 2007","April 6, 2006",Unreleased,PopCap Games,PopCap Games
Beyond the Future Fix: The Time Arrow,Unreleased,Unreleased,"December 8, 2011",Unreleased,5pb.,5pb.
Metal Fight Beyblade Portable: Chouzetsu Tensei! Vulcan Horuseus,Unreleased,Unreleased,"October 27, 2010",Unreleased,Takara Tomy,Takara Tomy
The Bigs,"June 25, 2007",Unreleased,Unreleased,Unreleased,Blue Castle Games,2K Sports
The Bigs 2,"July 7, 2009",Unreleased,Unreleased,Unreleased,Blue Castle Games,2K Sports
Biz Taiken Series: Kigyoudou,Unreleased,Unreleased,"March 9, 2006",Unreleased,Kokuyo,Kokuyo
Black Code,Unreleased,Unreleased,"June 26, 2014",Unreleased,QuinRose,QuinRose
Black Robinia,Unreleased,Unreleased,"February 24, 2011",Unreleased,Broccoli,Broccoli
Black Rock Shooter: The Game,"April 23, 2013","April 24, 2013","August 25, 2011",Unreleased,Imageepoch,Imageepoch / NIS America
Black Wolves Saga: Last Hope,Unreleased,Unreleased,"December 20, 2012",Unreleased,Idea Factory,Idea Factory
Blade Dancer: Lineage of Light,"July 18, 2006","February 9, 2007","March 2, 2006",Unreleased,Hitmaker,Nippon Ichi Software
BlazBlue: Calamity Trigger Portable,"March 10, 2010","October 29, 2010","February 25, 2010",Unreleased,Arc System Works,Arc System Works / Aksys Games
BlazBlue: Continuum Shift II,"May 31, 2011","November 4, 2011","March 31, 2011",Unreleased,Arc System Works,Arc System Works / Aksys Games
BlazBlue: Continuum Shift Extend,Unreleased,Unreleased,"May 31, 2012",Unreleased,Arc System Works,Arc System Works
Blaze Union: Story to Reach the Future,Unreleased,Unreleased,"May 27, 2010",Unreleased,Sting,Atlus
Blazing Souls: Accelate,"October 18, 2010","May 30, 2012","September 23, 2007",Unreleased,Idea Factory,Aksys Games
Bleach: Heat the Soul,Unreleased,Unreleased,"March 24, 2005",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 2,Unreleased,Unreleased,"September 1, 2005",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 3,Unreleased,Unreleased,"July 20, 2006",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 4,Unreleased,Unreleased,"May 24, 2007",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 5,Unreleased,Unreleased,"May 15, 2008",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 6,Unreleased,Unreleased,"May 14, 2009",Unreleased,Eighting,SCEI
Bleach: Heat the Soul 7,Unreleased,Unreleased,"September 2, 2010",Unreleased,Eighting,SCEI
Bleach: Soul Carnival,Unreleased,Unreleased,"October 23, 2008",Unreleased,Eighting,SCEI
Bleach: Soul Carnival 2,Unreleased,Unreleased,"December 10, 2009",Unreleased,Eighting,SCEI
Bliss Island,Unreleased,"December 8, 2006",Unreleased,Unreleased,PomPom Games,Codemasters
Blitz: Overtime,"December 12, 2006",Unreleased,Unreleased,Unreleased,Midway Games,Midway Games
Blokus Portable: Steambot Championship,"March 3, 2008","October 3, 2008","September 21, 2006",Unreleased,Irem,Irem / Majesco Entertainment
Blood+: Final Piece,Unreleased,Unreleased,"September 7, 2006",Unreleased,SCEI,Sony Entertainment
Blood Bowl,"April 13, 2010","September 18, 2009",Unreleased,Unreleased,Cyanide,Irem / Majesco Entertainment
Blood: The Last Vampire,Unreleased,Unreleased,"January 26, 2006",Unreleased,SCEI,Sony Entertainment
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,Unreleased,Unreleased,"September 16, 2010",Unreleased,Namco Bandai Games,Namco Bandai Games
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",Unreleased,Unreleased,"July 2, 2009",Unreleased,SCEI,SCEI
Boku no Natsuyasumi Portable,Unreleased,Unreleased,"June 29, 2006",Unreleased,SCEI,SCEI
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,Unreleased,Unreleased,"June 24, 2010",Unreleased,SCEI,SCEI
Boku wa Kimidake o Mitsumeru,Unreleased,Unreleased,"December 22, 2011",Unreleased,Hopemoon,Hopemoon
Boku wa Kuukou Kanseikan: Airport Hero Kankuu,Unreleased,Unreleased,"December 9, 2010",Unreleased,Sonic Powered,Sonic Powered
Boku wa Kuukou Kanseikan: Airport Hero Naha,Unreleased,Unreleased,"September 28, 2006",Unreleased,Electronic Arts,Electronic Arts
Boku wa Kuukou Kanseikan: Airport Hero Narita,Unreleased,Unreleased,"June 15, 2006",Unreleased,Electronic Arts,Electronic Arts
Boku wa Kuukou Kanseikan: Airport Hero Shinchitose,Unreleased,Unreleased,"February 22, 2007",Unreleased,Electronic Arts,Electronic Arts
Boku wa Tomodachi ga Sukunai Portable,Unreleased,Unreleased,"February 23, 2012",Unreleased,Bandai Namco Games,Bandai Namco Games
Bomberman,"September 12, 2006","February 9, 2006","July 20, 2006",February 2007,Hudson Soft,Hudson Soft / Konami
Bomberman Land,"January 29, 2008","March 14, 2008","February 7, 2008","March 20, 2008",Hudson Soft,Hudson Soft
Bomberman: Bakufuu Sentai Bombermen,Unreleased,Unreleased,"March 9, 2006",Unreleased,SCEI,SCEI
Bomberman: Panic Bomber,Unreleased,Unreleased,"June 23, 2006",Unreleased,Hudson,Hudson
Bounty Hounds,"September 13, 2006",Unreleased,"September 21, 2006",Unreleased,XPEC Entertainment,Namco Bandai Games
Boxer's Road 2: The Real,Unreleased,Unreleased,"September 28, 2006",Unreleased,Ertain,Ertain
Brain Challenge,"December 4, 2008","December 11, 2008","May 9, 2009","December 11, 2008",Gameloft,Gameloft
Brandish: The Dark Revenant,"January 13, 2015","April 16, 2015","March 19, 2009",Unreleased,Nihon Falcom,Nihon Falcom / Xseed Games / Marvelous Entertainment
Brave: A Warrior's Tale,"August 3, 2009",Unreleased,Unreleased,Unreleased,Collision Studios,Evolved Games
Brave Story: New Traveler,"July 31, 2007",Unreleased,"July 6, 2006",Unreleased,Game Republic,SCEI / Xseed Games
Breath of Fire III,"February 9, 2016","February 10, 2006","August 25, 2005",Unreleased,Capcom,Capcom
Brian Lara 2007 Pressure Play Ricky Ponting 2007 Pressure Play,Unreleased,"August 31, 2007",Unreleased,"October 4, 2007",Codemasters,Codemasters
Brooktown High,"May 22, 2007",Unreleased,Unreleased,Unreleased,Backbone Entertainment,Konami
Brothers in Arms: D-Day,"December 5, 2006","December 8, 2006",Unreleased,"November 7, 2006",Ubisoft,Ubisoft
Brothers Conflict: Brillant Blue,Unreleased,Unreleased,"September 12, 2013",Unreleased,Idea Factory,Idea Factory
Brothers Conflict: Passion Pink,Unreleased,Unreleased,"May 17, 2012",Unreleased,Idea Factory,Idea Factory
Brunswick Pro Bowling,"August 21, 2007","September 21, 2007",Unreleased,"September 27, 2007","Point of View, Inc.",Crave Entertainment
Bubble Bobble Evolution,"December 19, 2006","September 29, 2006","August 31, 2006",Unreleased,Opus,Codemasters
Buji Rock Festival,Unreleased,Unreleased,"April 20, 2011",Unreleased,SCEJ,SCEJ
Bullet Butlers,Unreleased,Unreleased,"January 26, 2012",Unreleased,Boost On,Boost On
Bunmei Kaika: Aoiza Ibunroku,Unreleased,Unreleased,"August 18, 2011",Unreleased,HuneX,FuRyu
Bunmei Kaika: Aoiza Ibunroku Saien,Unreleased,Unreleased,"May 17, 2012",Unreleased,HuneX,FuRyu
Burnout Dominator,"March 6, 2007","April 27, 2007","September 20, 2007","April 26, 2007",Criterion Games,Electronic Arts
Burnout Legends,"September 13, 2005","September 16, 2005","October 20, 2005",September 2005,Criterion Games,Electronic Arts
Burst Error: Eve the First,Unreleased,Unreleased,"March 25, 2010",Unreleased,Criterion Games,Electronic Arts
Busou Shinki: Battle Masters,Unreleased,Unreleased,"July 15, 2010",Unreleased,Pyramid,Konami
Busou Shinki: Battle Masters Mk.2,Unreleased,Unreleased,"September 22, 2011",Unreleased,Konami,Konami
Bust-A-Move Deluxe Bust-A-Move Ghost,"April 4, 2006","March 31, 2006","March 23, 2006","March 30, 2006",Taito Corporation,Taito / 505 Games / Majesco Entertainment
Buzz!: Brain Bender,Unreleased,"November 28, 2008",Unreleased,Unreleased,Relentless Software,SCEE
Buzz!: Brain of the UK Buzz!: Brain of OZ,Unreleased,"February 13, 2009",Unreleased,"March 26, 2009",Relentless Software,SCEE
Buzz!: Master Quiz,"September 23, 2008","July 25, 2008",Unreleased,"July 31, 2008",Relentless Software,SCEE / SCEA
Buzz!: Quiz World,Unreleased,"December 18, 2009",Unreleased,Unreleased,Curve Studios,SCEE
Buzz!: The Ultimate Music Quiz,Unreleased,"January 14, 2011",Unreleased,Unreleased,Relentless Software,SCEE
Cabela's African Safari,"October 17, 2006",Unreleased,Unreleased,Unreleased,Activision Value,Activision Value
Cabela's Dangerous Hunts: Ultimate Challenge,"April 4, 2006",Unreleased,Unreleased,"March 21, 2007",Fun Labs,Activision
Cabela's Legendary Adventures,"September 9, 2008",Unreleased,Unreleased,Unreleased,Activision,Activision
Cabela's North American Adventures,"September 14, 2010",Unreleased,Unreleased,Unreleased,Activision,Activision
Cake Mania: Baker's Challenge,"October 23, 2008",Unreleased,Unreleased,Unreleased,Coresoft,Destineer
Call of Duty: Roads to Victory,"March 13, 2007","March 30, 2007",Unreleased,"March 30, 2007",Amaze Entertainment,Activision
Canvas 3: Nanairo no Kiseki,Unreleased,Unreleased,Unreleased,"April 22, 2010",Amaze Entertainment,Activision
Capcom Classics Collection Reloaded,"October 24, 2006","November 10, 2006","September 7, 2006","November 16, 2006",Capcom,Capcom
Capcom Classics Collection Remixed,"March 22, 2006","July 21, 2006",Unreleased,Unreleased,Digital Eclipse,Capcom
Capcom Puzzle World,"February 6, 2007","July 13, 2007",Unreleased,"July 11, 2007",Capcom,Capcom
Carnage Heart EXA,Unreleased,Unreleased,"October 28, 2010",Unreleased,Artdink,Artdink
Carnage Heart Portable,Unreleased,Unreleased,"August 3, 2006",Unreleased,Artdink,Genki
Carol Vorderman's Sudoku,"March 6, 2007","August 25, 2006",Unreleased,Unreleased,Empire Interactive,Eidos Interactive
Cars,"June 6, 2006","July 14, 2006","July 6, 2006",Unreleased,Locomotive Games,THQ
Cars 2: The Video Game,"November 8, 2011","October 26, 2011",Unreleased,"November 3, 2011",Disney Interactive Studios,Sony Computer Entertainment
Cars Race-O-Rama,"October 12, 2009","October 30, 2009",Unreleased,"October 29, 2009",Tantalus Media,THQ
Castlevania: The Dracula X Chronicles,"October 23, 2007","February 15, 2008","November 8, 2007","April 9, 2008",Konami,Konami
Chameleon Kameleon,"May 5, 2008","November 10, 2006","January 19, 2006",Unreleased,Starfish,Tommo / 505 Games / UFO
Championship Manager,Unreleased,"December 6, 2005",Unreleased,Unreleased,Gusto Games,Eidos Interactive
Championship Manager 2006,Unreleased,"April 7, 2006",Unreleased,Unreleased,Beautiful Game Studios,Eidos Interactive
Championship Manager 2007,Unreleased,"March 16, 2007",Unreleased,"April 13, 2007",Beautiful Game Studios,Eidos Interactive
Chandragupta: Warrior Prince,Unreleased,"September 27, 2009",Unreleased,Unreleased,Immersive Games,SCEE
Chaos;Head Love Chu*Chu,Unreleased,Unreleased,"January 27, 2011",Unreleased,5pb. / Nitroplus,5pb.
Chaos;Head Noah,Unreleased,Unreleased,"June 24, 2010",Unreleased,5pb. / Nitroplus,5pb.
Cherry Blossom,Unreleased,Unreleased,"December 25, 2008",Unreleased,Takuyo,Takuyo
Chessmaster: The Art of Learning,"February 12, 2008","April 11, 2008",Unreleased,March 2008,Ubisoft,Ubisoft
Chikyuu Boueigun 2 Portable,Unreleased,Unreleased,"April 7, 2011",Unreleased,Sandlot,D3Publisher
Chili Con Carnage,"February 27, 2007","February 16, 2007",Unreleased,"February 23, 2007",Deadline Games,Eidos Interactive
Cho Aniki Zero,Unreleased,Unreleased,"March 19, 2009",Unreleased,"extreme Co., Ltd.",Aksys Games
Chou no Doku: Hana no Kusari - Taishou Tsuyakoi,Unreleased,Unreleased,"January 16, 2014",Unreleased,Prototype,Prototype
Chronostacia,Unreleased,Unreleased,"April 24, 2014",Unreleased,Idea Factory,Idea Factory
Chuugen no Hasha: Sangoku Shouseiden,Unreleased,Unreleased,"February 9, 2006",Unreleased,Namco,Namco
Chuukana Janshi Tenhoo Painyan Remix,Unreleased,Unreleased,"June 28, 2007",Unreleased,Jaleco Entertainment,Jaleco Entertainment
CID The Dummy,"July 7, 2009","April 17, 2009",Unreleased,Unreleased,Twelve Interactive,Oxygen Games
Cladun: This is an RPG,Unreleased,Unreleased,"February 18, 2010",Unreleased,Nippon Ichi Software,Nippon Ichi Software
ClaDun x2(Classic Dungeon X2),"August 30, 2011","September 21, 2011","March 24, 2011",Unreleased,Nippon Ichi Software,Nippon Ichi Software
Clannad,Unreleased,Unreleased,"May 29, 2008",Unreleased,Visual Arts,Prototype
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,Unreleased,Unreleased,"July 15, 2010",Unreleased,Prototype,Prototype
Clannad: Mitsumi Mamoru Sakamichi de - Joukan,Unreleased,Unreleased,"June 3, 2010",Unreleased,Prototype,Prototype
Class of Heroes,"June 9, 2009",Unreleased,"June 26, 2008",Unreleased,Zerodiv,Acquire / Atlus
Class of Heroes 2,October 2013,Unreleased,"June 25, 2009",Unreleased,Acquire,Gaijinworks
