Dice Puzzle,,Panda,1983,,
Dishaster,Zimag,Zimag,1983,Action,Zimag's NTSC release of Bit Corporation's Dancing Plate
Dolphin,Activision,Activision,1983,Action,
Donkey Kong,Imaginative Systems Software,Coleco,1982,Action,"licensed by Nintendo Co., Ltd; reissued by Atari in 1988 (CX-26143)"
Donkey Kong Junior,Woodside Design Associates,Coleco,1983,Action,"licensed by Nintendo Co., Ltd; reissued by Atari in 1988 (CX-26144)"
Double Dragon,Imagineering,Activision,1989,Action,licensed by Technōs Japan
Dragon Treasure,,Zellers,1981,,unlicensed reproduction of Dragonfire[12]
Dragonfire,Imagic (Bob Smith),Imagic,1982,Action,
Dragonstomper (cassette),Starpath,Starpath,1982,Role-Playing (RPG),
Dumbo's Flying Circus,Atari,,1983,Action,Unreleased prototype game
Dragster,Activision (David Crane),Activision,1980,Racing / Driving,
Dungeon Master,,Home Entertainment Suppliers,1992,"Action, Adventure","Released as part of a ""2 pak special""[15]"
Earth Dies Screaming,Sirius Software,20th Century Fox,1982,Action,
Earth Attack,,Zellers,1983,,unlicensed reproduction of Defender[12]
"Eddy Langfinger, der Museumsdieb",,Quelle,1983,Action,PAL release
Eggomania,James Wickstead Design Associates,US Games,1982,Action,
Eli's Ladder,Simage,Simage,1982,Educational,
Encounter at L-5,Data Age,Data Age,1982,Action,
Enduro,Activision,Activision,1983,Racing / Driving,
Entombed,Western Technologies,US Games,1983,"Action, Strategy",Researchers going through the game code in the 2010s have been unable to figure out how the game's maze-generating algorithm managed to consistently generate playable mazes. The original coder says he got it from another programmer who wrote it while drunk.
Escape from the Mindmaster (cassette),Starpath,Starpath,1982,Adventure,
Espial,Orca Corporation,Tigervision,1984,Action,
Exocet,Panda,Panda,1983,Action,Same game as Cruise Missile released by Froggo
Exocet Missile,,John Sands,,,PAL release
Extra Terrestrials,Herman Quast,Skill Screen Games,1984,Action,
Fantastic Voyage,Sirius Software,20th Century Fox,1982,Action,
Farmer Dan,,Zellers,,,unlicensed reproduction of Gopher[12]
Fast Eddie,Sirius Software,20th Century Fox,1982,Action,
Fast Food,Telesys,Telesys,1982,Action,
Fathom,Imagic (Rob Fulop),Imagic,1983,Action,
Fighter Pilot,,Activision,,,PAL release of Tomcat: The F-14 Fighter Simulator
Final Approach,Apollo,Apollo,1982,"Simulation, Strategy",
Fireball (cassette),Starpath,Starpath,1982,Action,
Fire Fighter,Imagic (Brad Stewart),Imagic,1982,Action,
Fire Fly,Mythicon,Mythicon,1983,Action,
Fisher Price,,CCE,1983,,"Same game as Aquatak, Sea Hunt and Scuba Diver"
Fishing Derby,Activision (David Crane),Activision,1980,"Action, Sports",
Flash Gordon,Sirius Software,20th Century Fox,1983,Action,
Frankenstein's Monster,Data Age,Data Age,1983,Action,
Freeway,Activision (David Crane),Activision,1981,Action,
Frogger,APh Technological Consulting,Parker Brothers,1982,Action,
Frogs and Flies,APh Technological Consulting,M Network,1982,Action,conversion of Intellivision Frog Bog
The Official Frogger (cassette),Starpath,,1983,Action,
Frogger II: Threeedeep!,Parker Brothers,Parker Brothers,1984,Action,
Front Line,Individeo,Coleco,1984,Action,licensed by Taito
Frostbite,Activision,Activision,1983,Action,
Gamma-Attack,Gammation,Gammation,1983,Action,"Only one copy known to exist.  It was listed on eBay for $500,000 but never sold."
Gangster Alley,Spectravision,Spectravision,1983,Action,
Gas Hog,Spectravision,Spectravision,1983,Action,
Gauntlet,Answer Software,Answer Software,1983,Action,
Ghostbusters,Activision (David Crane),Activision,1985,Action,
Ghostbusters II,Activision,Salu Ltd,1990/1992,Action,PAL-only
Ghost Manor/Spike's Peak,Xonox,Xonox,1983,Action,double-ended cartridge
Ghost Manor,Xonox,Xonox,1983,Action,
G.I. Joe: Cobra Strike,Parker Brothers,Parker Brothers,1983,Action,
Gigolo,,PlayAround,1982,,Released as a 2-in-1 cart with Bachelor Party
Glacier Patrol,VSS,Telegames,1983,Action,
Glib,Qualtronic Devices,Selchow and Righter,1983,Strategy,
Gopher,James Wickstead Design Associates,US Games,1982,Action,
Gorf,Roklan Corporation,CBS Electronics,1982,Action,licensed by Bally Midway
Grand Prix,Activision (David Crane),Activision,1982,Racing / Driving,
Great Escape,Bomb,Bomb,1983,Action,
Guardian,Apollo,Apollo,1982,Action,
Gyruss,Roklan Corporation,Parker Brothers,1984,Action,licensed by Konami
Halloween,VSS,Wizard Video,1983,Action,
Harbor Escape,,Panda,1983,,
H.E.R.O.,Activision,Activision,1984,Action,
I Want My Mommy,Zimag,Zimag,1983,Action,NTSC release of Bit Corporation's Open Sesame
Ice Hockey,Activision (Alan Miller),Activision,1981,"Action, Sports",
Inca Gold,,Zellers,1982,,Zeller's NTSC release of Funvision's Inca Gold
Infiltrate,Apollo,Apollo,1982,"Action, Strategy",
International Soccer,APh Technological Consulting,M Network,1982,Sports,
James Bond 007,On Time Software,Parker Brothers,1983,Action,
Jawbreaker,On-Line Systems,Tigervision,1982,Action,
Journey Escape,Data Age,Data Age,1982,Action,
Jungle Fever,PlayAround,PlayAround,1982,Action,Released as a 2-in-1 cart with Knight on the Town
Kaboom!,"Activision (Larry Kaplan, David Crane)",Activision,1981,Action,
Karate,Ultravision,Ultravision,1982,Action,
Keystone Kapers,Activision,Activision,1983,Action,
Killer Satellites (cassette),Starpath,Starpath,1982,Action,
King Kong,Software Electronics,Tigervision,1982,Action,
Knight on the Town,,PlayAround,1982,,Released as a 2-in-1 cart with Jungle Fever
Kool-Aid Man,Mattel Electronics,M Network,1983,Action,
Kung-Fu Master,Imagineering,Activision,1987,Action,licensed by Data East USA
Lady in Wading,,PlayAround,1982,,Released as a 2-in-1 cart with Beat 'Em & Eat 'Em
Laser Blast,Activision (David Crane),Activision,1981,Action,
Laser Gates,"Imagic, VentureVision",Imagic,1983,Action,
Laser Volley,,Zellers,1983,,unlicensed reproduction of Laser Gates[12]
Lochjaw,Apollo,Apollo,1982,Action,Later released by Apollo as Shark Attack
Lock 'n' Chase,APh Technological Consulting,M Network,1982,Action,licensed by Data East USA.
London Blitz,Avalon Hill,Avalon Hill,1983,Strategy,
Lost Luggage,Apollo,Apollo,1982,Action,
M.A.D.,Western Technologies,US Games,1982,Action,
MagiCard,CommaVid,CommaVid,1981,,
Malagai,,Answer Software,1983,Action,
Mangia,Spectravision,Spectravision,1983,Action,
Marauder,On-Line Systems,Tigervision,1982,,
Marine Wars,Digivision,Konami,1983,Action,PAL version released by Gakken.
M*A*S*H,20th Century Fox,20th Century Fox,1982,Action,
Master Builder,Spectravision,Spectravision,1983,Action,
Masters of the Universe: The Power of He-Man,Mattel Electronics,M Network,1983,Action,
MegaBoy,,Dynacom,1990,Educational,"The cartridge, the only known 64k Atari 2600 game, came with a Brazilian portable console also called Megaboy.[16]"
Mega Force,20th Century Fox,20th Century Fox,1982,Action,
Megamania,Activision,Activision,1982,Action,
Miner 2049er,Big Five Software,Tigervision,1983,Action,
Miner 2049er II,Big Five Software,Tigervision,1982,Action,
Mines of Minos,CommaVid,CommaVid,1983,Action,
Missile Control,,Video Gems,1983,Action,PAL-format[17]
Mission 3000 A.D.,Bit Corporation,Bit Corporation,1983,Action,
Mission Survive,,Video Gems,1983,Action,PAL-format[17]
Mogul Maniac,Video Soft,Amiga,1983,"Action, Simulation, Sports",
Montezuma's Revenge: Starring Panama Joe,James Wickstead Design Associates,Parker Brothers,1984,Action,
Moonsweeper,Imagic (Bob Smith),Imagic,1983,Action,
Motocross,,Quelle,1983,"Racing / Driving, Sports",
Motocross Racer,Xonox,Xonox,1984,Racing / Driving,
Mountain King,VSS,CBS Electronics,1983,Action,
Mouse Trap,James Wickstead Design Associates,Coleco,1982,Action,licensed by Exidy; reissued by Atari in 1988 (CX-26146)
Mr. Do!,Individeo,Coleco,1983,Action,"licensed by Universal Co., Ltd."
Mr. Do's Castle,Parker Brothers,Parker Brothers,1984,Action,"licensed by Universal Co., Ltd."
Mr. Postman,,Bit Corporation,1983,,
The Music Machine,Christian Software Development,"Sparrow, HomeComputer Software",1983,"Action, Educational",
My Golf,Imagineering (company),HES,1990,,PAL-only
Name This Game,James Wickstead Design Associates,US Games,1982,Action,
Nightmare,,Sancho / Tang's Electronic Co.,1983,Action,Panda released this game as Stunt Man
Night Stalker,M Network,Telegames,1989,Action,PAL release of Dark Cavern
No Escape!,Imagic,Imagic,1983,Action,
Nuts,,Technovision,1983,,PAL-only
Ocean City Defender,,Zellers,,,unlicensed reproduction of Atlantis[12]
Off Your Rocker,Amiga,Amiga,1983,Action,
Oink!,Activision (Mike Lorenzen),Activision,1983,Action,
Omega Race,CBS Electronics,CBS Electronics,1983,Action,licensed by Bally Midway
Open Sesame,Bit Corporation,Bit Corporation,1983,Action,PAL release
Out of Control,Avalon Hill,Avalon Hill,1983,"Action, Racing / Driving",
Pac-Kong,,Funvision,1983,Action,A later PAL release of Funvision's Inca Gold
Panda Chase,,Home Vision,1983,,PAL-only
Parachute,Gem International Corporation,Home Vision,1983,Action,PAL-only
Paris Attack,unknown,Starsoft,1982,Action / Shooter,PAL-only
Party Mix (cassette),Starpath,Starpath,1983,"Action, Racing / Driving",
Pete Rose Baseball,Imagineering,Absolute Entertainment,1988,Sports,
Phantom Tank,,Bit Corporation,1983,,PAL release
Phantom-Panzer,,Quelle,1983,Action,Quelle's PAL release of Bit Corporation's Phantom Tank
Phaser Patrol (cassette),Starpath,Starpath,1982,Action,
Philly Flasher,"Mystique, PlayAround",Mystique,1982,Action,Released as a 2-in-1 cart with Cathouse Blues
Pick 'n Pile,Ubisoft,Salu Ltd,1990,Strategy,PAL-only
Pick Up,20th Century Fox,Mark Klein,2002,Shooter,"Finished, but unreleased until self-published at 2002 Classic Gaming Expo"
Picnic,Western Technologies,US Games,1983,Action,
Piece o' Cake,Western Technologies,US Games,1983,Action,
Pinball,,Zellers,,Pinball,unlicensed reproduction of Video Pinball[12]
Piraten-Schiff,,Spectravision,,,PAL release of Gas Hog
Pitfall!,Activision (David Crane),Activision,1982,Action,
Pitfall II: Lost Caverns,Activision (David Crane),Activision,1984,Action,
Planet Patrol,Spectravision,Spectravision,1983,Action,
Planeten Patrouile,,Spectravision,,,PAL release of Planet Patrol
Plaque Attack,Activision,Activision,1983,Action,
Polaris,Tigervision,Tigervision,1982,Action,licensed by Taito
Pooyan,Konami,Konami,1983,Action,PAL version released by Gakken.
Popeye,Parker Brothers,Parker Brothers,1983,Action,licensed by Nintendo
Porky's,"Dunhill Electronic Media, Lazer Microsystems",20th Century Fox,1983,Adventure,
Pressure Cooker,Activision,Activision,1983,Action,
Private Eye,Activision (Bob Whitehead),Activision,1983,Action,
Pyramid War,,S.S.,1983,,PAL release
Q*bert,James Wickstead Design Associates,Parker Brothers,1983,Action,Reissued by Atari in 1988 (CX-26150)
Q*bert's Qubes,Mylstar Electronics,Parker Brothers,1984,Action,
Quest for Quintana Roo,VSS,Sunrise,1983,"Action, Adventure",
Quick Step,Imagic,Imagic,1983,Action,
Rabbit Transit (cassette),Starpath,Starpath,1983,Action,
Racquetball,Apollo,Apollo,1981,"Action, Sports",
Radar,,Zellers,1983,,unlicensed reproduction of Cruise Missile[12]
Raft Rider,Western Technologies,US Games,1983,Action,
Ram It,Telesys,Telesys,1983,Action,
Rampage,Bob Polaro,Activision,1989,Action,licensed by Bally Midway.
Reactor,D. Gottlieb & Co.,Parker Brothers,1982,Action,
Red Sea Crossing,Steve Schustack,Inspirational Video Concepts,1983,,Only available through mail order from a magazine. 100 copies were apparently produced but only 2 have been found.[18]
Rescue Terra 1,VentureVision,VentureVision,1982,Action,
Revenge of the Beefsteak Tomatoes,20th Century Fox,20th Century Fox,1983,Action,
Riddle of the Sphinx,Imagic (Bob Smith),Imagic,1982,"Action, Adventure",
River Patrol,Orca Corporation,Tigervision,1984,Action,
River Raid,Activision (Carol Shaw),Activision,1982,Action,
River Raid II,Imagineering,Activision,1988,Action,
Robin Hood/Sir Lancelot - The Joust,"Computer Magic, Ltd.",Xonox,1983,Action,double-ended cartridge
Robin Hood,Xonox,Xonox,1983,Action,
Robot Commando Raid,,VidTec,1982,,
Robot Tank,Activision (Alan Miller),Activision,1983,Action,
Roc 'N Rope,Coleco,Coleco,1984,Action,licensed by Konami
Room of Doom,CommaVid,CommaVid,1982,Action,
Save Our Ship,,Technovision,1983,,PAL release
Save the Whales,20th Century Fox (Steve Beck),,1983,Action,Unreleased prototype game
Scraper Caper,,Tigervision,,,Unreleased prototype game
Scuba Diver,,Panda,1983,,
Sea Hawk,Froggo,Froggo,1988,Action,
Seahawk,,Sancho (Tang's Electronic Co.),1982,Action,
Seamonster,,Puzzy / Bit Corporation,1982,Action,
Seaquest,Activision,Activision,1983,Action,
Sea Hunt,Froggo,Froggo,1987,Action,Froggo's release of Panda's Scuba Diver
Shark Attack,,Apollo,1982,,"A re-release of Lochjaw, which has subtle differences"
Shootin' Gallery,Imagic,Imagic,1983,Action,
Shuttle Orbiter,Avalon Hill,Avalon Hill,1983,"Action, Simulation",
Sir Lancelot,Xonox,Xonox,1983,Action,
Skate Boardin': A Radical Adventure,Imagineering,Absolute Entertainment,1987,"Action, Sports",
Skeet Shoot,Apollo,Apollo,1981,Action,
Skiing,Activision (Bob Whitehead),Activision,1980,Sports,
Sky Jinks,Activision (Bob Whitehead),Activision,1982,Racing / Driving,
Sky Skipper,Parker Brothers,Parker Brothers,1983,Action,
Smurf: Rescue in Gargamel's Castle,James Wickstead Design Associates,Coleco,1982,Action,
The Smurfs Save the Day[19],,Coleco,1983,Action,Kid Vid Voice Module required to function
Snail Against Squirrel,,Bit Corporation,1983,Action,PAL release. Released in NTSC format as Squirrel
Sneak 'N Peek,James Wickstead Design Associates,US Games,1982,Simulation,
Solar Fox,CBS Electronics,CBS Electronics,1983,Action,licensed by Bally Midway
Solar Storm,Imagic,Imagic,1983,Action,
Sorcerer,Mythicon,Mythicon,1983,Action,
Space Adventure,,Zellers,1981,,Zellers' release of 20th Century Fox's Flash Gordon
Space Attack,APh Technological Consulting,M Network,1982,Action,
Space Canyon,Apollo,Panda,1983,Action,Panda's release of Apollo's Space Cavern
Space Cavern,Apollo,Apollo,1982,Action,
Spacechase,Apollo,Apollo,1981,Action,
Space Grid,,Action Hi-Tech,,,PAL-format[14]
Space Jockey,James Wickstead Design Associates,US Games,1982,Action,
Spacemaster X-7,Sirius Software,20th Century Fox,1983,"Action, Strategy",
Space Shuttle: A Journey into Space,Activision,Activision,1983,Simulation,
Spiderdroid,Froggo,Froggo,1987,Action,Froggo's release of Parker Brothers' Amidar
Spider Fighter,Activision,Activision,1982,Action,
Spider-Man,Parker Brothers,Parker Brothers,1982,Action,
Spider Maze,,K-Tel Vision,1982,,K-Tel Vision's NTSC release of Funvision's Inca Gold
Spike's Peak,Xonox,Xonox,1983,Action,
Spitfire Attack,Milton Bradley,Milton Bradley,1983,Action,
Springer,Orca Corporation,Tigervision,1983,Action,
Spy Hunter,Sega,Sega,1984,"Action, Racing / Driving",licensed by Bally Midway
Squeeze Box,James Wickstead Design Associates,US Games,1982,Action,
Sssnake,Data Age,Data Age,1982,Action,
Stampede,Activision (Bob Whitehead),Activision,1981,Action,
Star Fox,Mythicon,Mythicon,1983,Action,
Stargunner,Telesys,Telesys,1982,Action,
Starmaster,Activision (Alan Miller),Activision,1982,Action,
Star Strike,Mattel Electronics,M Network,1982,Action,conversion of Intellivision Star Strike
Star Trek: Strategic Operations Simulator,Sega,Sega,1983,Action,
Star Voyager,Imagic (Bob Smith),Imagic,1982,Action,
Star Wars: The Arcade Game,James Wickstead Design Associates,Parker Brothers,1984,Action,
Star Wars: Jedi Arena,Parker Brothers,Parker Brothers,1983,Action,
Star Wars Return of the Jedi: Death Star Battle,Parker Brothers,Parker Brothers,1983,Action,
Star Wars: The Empire Strikes Back,Parker Brothers,Parker Brothers,1982,Action,
Steeplechase,,Video Gems,1983,"Action, Sports",PAL-format[17]
Strategy X,Konami,Konami,1983,Action,PAL version released by Gakken.
Strawberry Shortcake: Musical Match-ups,Parker Brothers,Parker Brothers,1983,Strategy,
Stronghold,CommaVid,CommaVid,1983,Action,
Stunt Man,,Panda,1983,Action,Panda's NTSC release of Sancho's Nightmare
Sub-Scan,Sega,Sega,1983,Strategy,Sega's release of its Deep Scan arcade game
Subterranea,Imagic,Imagic,1983,Action,
Suicide Mission (cassette),Starpath,Starpath,1982,Action,
Summer Games,Epyx,Epyx,1987,"Action, Sports",
Super Baumeister,,Spectravision,,,PAL release of Master Builder
Super Challenge Baseball,APh Technological Consulting,M Network,1982,Sports,reissued by Telegames in 1988
Super Challenge Football,APh Technological Consulting,M Network,1982,Sports,reissued by Telegames in 1988
Super Cobra,Roklan Corporation,Parker Brothers,1983,Action,licensed by Konami
Surfer's Paradise: But Danger Below!,,Video Gems,1983,"Action, Sports",PAL-format[17]
Survival Island (cassette),Starpath,Starpath,1983,Adventure,
Survival Run,Renaissance Technology,Milton Bradley,1983,Action,
Swedish Erotica: Bachelor Party,Mystique,Mystique,1983,Action,
Swedish Erotica: Beat' Em & Eat 'Em,Mystique,Mystique,1982,Action,
Swedish Erotica: Custer's Revenge,Mystique,Mystique,1983,Action,
Sword of Saros (cassette),Starpath,Starpath,1983,"Adventure, RPG",
Tac-Scan,Sega,Sega,1983,Action,
Tank Brigade,,Panda,1983,,Panda's NTSC release of Bit Corporation's Phantom Tank
Tank City,,Action Hi-Tech,,,PAL release of Sega's Thunderground
Tanks But No Tanks,,Zimag,1983,,Zimag's NTSC release of Bit Corporation's Phantom Tank
Tapeworm,Spectravision,Spectravision,1982,Action,
Tapper,Beck-Tech,Sega,1984,Action,
Task Force,,Froggo,1988,,Froggo's release of Spectravision's Gangster Alley
Tax Avoiders,Dunhill Electronics,American Videogame,1982,Action,
Tennis,Activision (Alan Miller),Activision,1981,Sports,
The Texas Chainsaw Massacre,VSS,Wizard Video,1983,Action,
Threshold,On-Line Systems,Tigervision,1983,Fixed shooter,
Thunderground,Sega,Sega,1983,Action,
Time Pilot,Coleco,Coleco,1983,Action,licensed by Konami
Time Warp,,Zellers,1983,,Zellers' NTSC release of Funvision's Time Warp
Title Match Pro Wrestling,Imagineering,Absolute Entertainment,1987,Sports,
Tomarc the Barbarian,Xonox,Xonox,1983,Action,
Tomcat: The F-14 Fighter Simulator AKA Dan Kitchen's Tomcat: The F-14 Fighter Simulator,Imagineering (Dan Kitchen),Absolute Entertainment,1988,"Action, Simulation",
Tooth Protectors,DSD,Camelot,1983,Action,Was only available via mail order from Johnson & Johnson
Towering Inferno,Western Technologies,US Games,1982,Action,
Treasure Below,,Video Gems,1983,Action,PAL-format[17]
Trick Shot,Imagic,Imagic,1983,Sports,
Tron: Deadly Discs,APh Technological Consulting,M Network,1982,Action,conversion of Intellivision Tron Deadly Discs
Tunnel Runner,CBS Electronics,CBS Electronics,1983,Action,
Turmoil,Sirius Software,20th Century Fox,1982,Action,
Tutankham,Parker Brothers,Parker Brothers,1983,Action,licensed by Konami
Universal Chaos,,Telegames,1983,Action,
Up'n Down,Sega,Sega,1984,"Action, Racing / Driving",
Venture,Coleco,Coleco,1982,Action,licensed by Exidy; reissued by Atari in 1988 (CX-26145)
Video Jogger,Exus Corporation,Exus Corporation,1983,Action,
Video Life,CommaVid,CommaVid,1981,Life Simulation,
Video Reflex,Exus Corporation,Exus Corporation,1983,Action,
Vulture Attack,,K-Tel Vision,1982,,This is K-Tel Vision's release of Ultravision's Condor Attack game program
Wabbit,Apollo,Apollo,1982,Action,
Wall Ball,,Avalon Hill,1983,,
Wall-Defender,Bomb,Bomb,1983,Action,
War Zone,,Action Hi-Tech,,,PAL release of 20th Century Fox's M*A*S*H
Warplock,Data Age,Data Age,1982,Action,
Weltraumtunnel (Space Tunnel),BitCorp,BitCorp - Quelle,1982,Action,"PAL-Release - Quelle-variant is a BitCorp-clone; also known e.g. as Ataque Laser, Innerspace, Laser Volley, Laser Gate, Laser Gates"
Wing War,Imagic,Imagic,1983,Action,PAL-only
Winter Games,Action Graphics,Epyx,1987,"Action, Sports",
Wizard of Wor,Roklan Corporation,CBS Electronics,1982,Action,licensed by Bally Midway
Word Zapper,James Wickstead Design Associates,US Games,1982,Action,
Worm War I,Sirius Software,20th Century Fox,1982,Shooter,
X-man,,Universal Gamex,1983,Action,Adult-themed game unrelated to the X-Men.[20]
The Year 1999,,Rainbow Vision,1983,Shooter,PAL exclusive
Z-Tack,Bomb,Bomb,1983,Action,
Zaxxon,Coleco,Coleco,1982,Action,licensed by Sega
Zoo Fun,,Suntek,1983,,PAL-only
