Casino Games,Compile,Sega,,Unreleased,September 1989,November 1989,
Castelo Rá-Tim-Bum,Tec Toy,Tec Toy,,Unreleased,Unreleased,Unreleased,September 1997
Castle of Illusion Starring Mickey Mouse,Sega,Sega,,Unreleased,February 1991,February 1991,
Champions of Europe,TecMagik,TecMagik,,Unreleased,Unreleased,June 1992,
Championship Hockey,Electronic Arts,U.S. Gold,,Unreleased,Unreleased,1992,
Chase H.Q.,Taito,Sega,,Unreleased,Unreleased,1990,
Cheese Cat-Astrophe Starring Speedy Gonzales,Cryo Interactive,Sega,,Unreleased,Unreleased,"February 1, 1995",
Choplifter,Sega,Sega,,Unreleased,September 1986,August 1987,
Chuck Rock,Core Design,Virgin Interactive,,Unreleased,Unreleased,August 1992,
Chuck Rock II: Son of Chuck,Core Design,Sega,,Unreleased,Unreleased,October 1993,
Cloud Master,Opera House,Sega,,Unreleased,August 1989,1989,
Columns,Sega,Sega,,Unreleased,September 1990,December 1990,
Comical Machine Gun Joe,Sega,Sega,,"April 21, 1986",Unreleased,Unreleased,
Cool Spot,Virgin Interactive,Virgin Interactive,,Unreleased,Unreleased,October 1993,
Cosmic Spacehead,Codemasters,Codemasters,,Unreleased,Unreleased,1993,
"Cyber Shinobi, The",Sega,Sega,,Unreleased,Unreleased,April 1991,
Cyborg HunterChouon Senshi BorgmanJP,Sega,Sega JP/EU Activision NA,,"December 1, 1988",January 1989,1989,
Daffy Duck in Hollywood,Probe Entertainment,Sega EUTectoy BROziSoft AU,,Unreleased,Unreleased,1994,
Danan: The Jungle Fighter,Whiteboard,Sega,,Unreleased,Unreleased,January 1991,
Dead Angle,Sega,Sega,,Unreleased,1990,January 1990,
Deep Duck Trouble Starring Donald Duck,Aspect,Sega,,Unreleased,Unreleased,January 1994,
Desert Speedtrap Starring Road Runner & Wile E. Coyote,Probe Entertainment,Sega,,Unreleased,Unreleased,1993,
Desert Strike: Return to the Gulf,The Kremlin,Domark,,Unreleased,Unreleased,November 1993,
Dick Tracy,Blue Sky Software,Sega,,Unreleased,January 1991,April 1991,
Double Dragon,Arc System Works,Sega,,"October 1, 1988",November 1988,1988,
Double Hawk,Opera House,Sega,,Unreleased,Unreleased,1990,
Dr. Robotnik's Mean Bean Machine,Compile,Sega,,Unreleased,Unreleased,"July 26, 1994",
Dragon: The Bruce Lee Story,Mick Lowe Design,Virgin Interactive,,Unreleased,Unreleased,1994,
Dragon Crystal,Sega,Sega,,Unreleased,Unreleased,October 1991,
Dynamite Duke,Sanritsu,Sega,,Unreleased,Unreleased,April 1991,
Dynamite Dux,Whiteboard,Sega,,Unreleased,Unreleased,January 1990,
Dynamite Headdy,Minato Giken,Sega,,Unreleased,Unreleased,Unreleased,1995
E-SWAT,Sanritsu  Sega,Sega,,Unreleased,September 1990,November 1990,
Earthworm Jim,Tectoy,Tectoy,,Unreleased,Unreleased,Unreleased,March 1997
Ecco the Dolphin,Novotrade,Sega,,Unreleased,Unreleased,1994,
Ecco: The Tides of Time,Novotrade,Sega,,Unreleased,Unreleased,Unreleased,1996
Enduro RacerSuper CrossBR,Sega,Sega,,"May 18, 1987",August 1987,November 1987,
F1Formula OneBR,LankhorTeque Interactive,Domark,,Unreleased,Unreleased,"August 27, 1993",
F-16 Fighting FalconF-16 FighterEU/AUS/In-game Title,Nexa Corporation,Sega,,March 1986,October 1986,October 1987,
Fantastic Dizzy,Codemasters,Codemasters,,Unreleased,Unreleased,October 1993,
Fantasy Zone,Sega,Sega,,"June 15, 1986",September 1986,"September 4, 1989",
Fantasy Zone II: The Tears of Opa-Opa,Sega,Sega,,"October 17, 1987",December 1987,"January 29, 1990",
Fantasy Zone: The Maze,Whiteboard,Sega,,"December 20, 1987",July 1988,May 1988,
Férias Frustradas do Pica-Pau,Tec Toy,Tec Toy,,Unreleased,Unreleased,Unreleased,December 1996
FIFA International Soccer,Tiertex Design Studios,Tec Toy,,Unreleased,Unreleased,Unreleased,October 1996
Fire & Forget II,Titus Software,Titus Software,,Unreleased,Unreleased,November 1990,
Fire and Ice,Graftgold,Virgin Interactive,,Unreleased,Unreleased,Unreleased,1995
"Flash, The",Probe Entertainment,Sega,,Unreleased,Unreleased,1993,
"Flintstones, The",Tiertex Design Studios,Grandslam Entertainment,,Unreleased,Unreleased,1991,
Forgotten Worlds,Sanritsu,Sega,,Unreleased,Unreleased,July 1991,
G-LOC: Air Battle,Sanritsu,Sega,,Unreleased,Unreleased,January 1992,
Gain Ground,Sanritsu,Sega,,Unreleased,Unreleased,January 1991,
Galactic Protector,Sega,Sega,,"February 21, 1988",Unreleased,Unreleased,
Galaxy Force,Sega,Activision NA Sega EU,,Unreleased,October 1989,1989,
Gangster Town,Sega,Sega,,Unreleased,August 1987,1987,
Gauntlet,Tiertex Design Studios,TengenU.S. Gold,,Unreleased,Unreleased,November 1990,
George Foreman's KO Boxing,SIMS,Sega,,Unreleased,Unreleased,1992,1992
Ghost HouseChapolim X Dracula: Um Duelo AssustadorBR (1993),Sega,Sega,,"April 21, 1986",September 1986,August 1987,
Ghostbusters,Compile,Sega,,Unreleased,May 1987,1989,
Ghouls 'n Ghosts,Arc System Works,Sega,,Unreleased,January 1991,April 1991,
Global DefenseSDIJP,Sega,Sega,,"October 24, 1987",March 1988,March 1988,
Global Gladiators,Virgin Interactive,Virgin Interactive,,Unreleased,Unreleased,1993,
Golden Axe,Sega,Sega,,Unreleased,1990,1990,
Golden Axe Warrior,Sega,Sega,,Unreleased,April 1991,May 1991,
Golfamania,Sanritsu,Sega,,Unreleased,Unreleased,1990,
Golvellius: Valley of Doom,Compile,Sega,,"August 14, 1988",December 1988,1988,
GP Rider,Sega,Sega,,Unreleased,Unreleased,1993,
Great BaseballThe Pro Yakyuu Pennant RaceJP,Sega,Sega,,"August 17, 1987",March 1987,1987,
Great Baseball (1985)[1],Sega,Sega,,"December 18, 1985",Unreleased,Unreleased,
Great Basketball,Sega,Sega,,"March 29, 1987",December 1987,1987,
Great FootballSports Pad FootballSports Pad,Sega,Sega,,"April 29, 1987",July 1987,1987,
Great Golf Masters GolfJP,Sega,Sega,,"October 10, 1987",November 1987,November 1987,
Great Golf (1985)[2],Sega,Sega,,"December 20, 1985",Unreleased,Unreleased,
Great Ice Hockey,Sega,Sega,,1987,December 1986,Unreleased,
Great Soccer (cartridge version)[3]World SoccerEU/JPSports Pad SoccerSports PadSuper FutebolBRA,Sega,Sega,,"July 19, 1987",October 1987,Unreleased,
Great Soccer (1985)[4],Sega,Sega,,1985,Unreleased,Unreleased,
Great Volleyball,Sanritsu,Sega,,"March 29, 1987",August 1987,1987,
Hang-On,Sega,Sega,,"October 20, 1985",September 1986,August 1987,
"Heavyweight ChampJames ""Buster"" Douglas Knockout BoxingUS",Sanritsu,Sega,,Unreleased,1990,1991,1991
Heroes of the Lance,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,December 1991,
High School! Kimengumi,Sega,Sega,,"December 15, 1986",Unreleased,Unreleased,
Home Alone,Probe Entertainment,Sega,,Unreleased,Unreleased,1993,
Hoshi wo Sagashite...,Sega,Sega,,"April 2, 1988",Unreleased,Unreleased,
Impossible Mission,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,November 1990,
The Incredible Crash Dummies,Software Creations,Flying Edge,,Unreleased,Unreleased,1993,
The Incredible Hulk,Probe Entertainment,U.S. Gold,,Unreleased,Unreleased,June 1994,
Indiana Jones and the Last Crusade: The Action GameIndiana Jones e a Ultima CrusadaBR,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,December 1990,
James Bond 007: The Duel,The Kremlin,Domark,,Unreleased,Unreleased,"April 7, 1993",
James Pond 2: Codename RoboCod,VectordeanMillennium Interactive,U.S. Gold,,Unreleased,Unreleased,November 1993,
Joe Montana Football,Blue Sky Software,Sega,,Unreleased,December 1990,1990,
Disney's The Jungle BookLe Livre de la JungleFRDas DschunglebuchGEREl Libro de la SelvaSPA,Virgin Interactive,Virgin Interactive,,Unreleased,Unreleased,December 1993,
Jurassic Park,Sega,Sega,,Unreleased,Unreleased,1993,
KenseidenHwarang-ui GeomKOR,Sega,Sega,,"June 2, 1988",November 1988,1988,
King's Quest: Quest for the Crown,Microsmiths,Parker Brothers,,Unreleased,"July 1, 1989",Unreleased,
Klax,Tengen,Tengen,,Unreleased,Unreleased,November 1991,
Krusty's Fun House,Audiogenic Software,Flying Edge,,Unreleased,Unreleased,May 1993,
Kung Fu KidSapo Xulé O Mestre do Kung FuBRMakai RetsudenJP,Sega,Sega,,"May 17, 1987",October 1987,January 1988,
Land of Illusion Starring Mickey Mouse,Sega,Sega,,Unreleased,Unreleased,June 1993,
Laser Ghost,Sega,Sega,,Unreleased,Unreleased,December 1991,
Legend of Illusion Starring Mickey Mouse,SegaAspect,Sega,,Unreleased,Unreleased,Unreleased,December 1998
Lemmings,Probe Software,Sega,,Unreleased,Unreleased,November 1992,
Line of Fire,SIMS,Sega,,Unreleased,Unreleased,January 1992,
Disney's The Lion KingLe Roi LionFRDer König der LöwenGEREl Rey LeonSPAIl Re LeoneITA,Virgin Interactive,Virgin Interactive,,Unreleased,Unreleased,1994,
Lord of the SwordLord of SwordJP,Sega,Sega,,"June 2, 1988",April 1989,1988,
Lucky Dime Caper Starring Donald Duck,Sega,Sega,,Unreleased,Unreleased,December 1991,
Mahjong Sengoku Jidai,Sanritsu,Sega,,"October 18, 1987",Unreleased,Unreleased,
Marble Madness,Steve Lamb,Virgin Interactive,,Unreleased,Unreleased,June 1992,
Marksman Shooting & Trap Shooting,Sega,Sega,,Unreleased,December 1986,1987,
Master of Darkness,SIMS,Sega,,Unreleased,Unreleased,May 1993,
Masters of Combat,SIMS,Sega,,Unreleased,Unreleased,December 1993,
Maze Hunter 3-DMaze WalkerJP (1988),Sega,Sega,,"January 31, 1988",May 1988,1988,
Megumi Rescue,Aicom,Sega,,"July 30, 1988",Unreleased,Unreleased,
Mercs,Sega,Sega,,Unreleased,Unreleased,January 1992,
Michael Jackson's Moonwalker,SegaArc System Works,Sega,,Unreleased,1990,February 1991,
Mickey's Ultimate Challenge,Designer Software,Tec Toy,,Unreleased,Unreleased,Unreleased,December 1998
Micro Machines,Codemasters,Codemasters,,Unreleased,Unreleased,March 1994,
Miracle Warriors: Seal of the Dark LordHaja no FuuinJP,Sega,Sega,,"October 18, 1987",October 1988,1988,
Missile Defense 3-D,Sega,Sega,,Unreleased,August 1987,October 1987,
Monopoly,Nexa Corporation,Sega,,Unreleased,September 1988,1988,
Montezuma's Revenge,Venture Technologies,Parker Brothers,,Unreleased,June 1989,Unreleased,
Mortal Kombat,Probe Entertainment,Arena Entertainment,,Unreleased,Unreleased,"September 13, 1993",
Mortal Kombat II,Probe Entertainment,Acclaim Entertainment,,Unreleased,Unreleased,November 1994,
Mortal Kombat 3,Software Creations,Tec Toy,,Unreleased,Unreleased,Unreleased,December 1996
Ms. Pac-Man,Tiertex Design Studios,Tengen,,Unreleased,Unreleased,November 1991,
My Hero,Sega,Sega,,"January 31, 1986",September 1986,August 1987,
Nekyuu Kousien,Whiteboard,Sega,,"September 9, 1988",Unreleased,Unreleased,
"New Zealand Story, The",TecMagik,TecMagik,,Unreleased,Unreleased,September 1992,
Ninja Gaiden,SIMS,Sega,,Unreleased,Unreleased,July 1992,
"Ninja, The",Sega,Sega,,"November 8, 1986",December 1986,November 1987,
Olympic Gold: Barcelona '92,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,1992,
Operation Wolf,Taito,Sega,,Unreleased,Unreleased,1990,
"Ottifants, The",Graftgold,Sega,,Unreleased,Unreleased,1993,
OutRun,Sega,Sega,,"June 30, 1987",October 1987,October 1987,
Out Run 3-D,Sega,Sega,,Unreleased,Unreleased,1989,
Out Run Europa,Probe Entertainment,U.S. Gold,,Unreleased,Unreleased,February 1992,
Pac-Mania,TecMagik,Tengen,,Unreleased,Unreleased,April 1991,
PaperboyPaber BoyBR,Tiertex Design Studios,Sega NA U.S. Gold EU,,Unreleased,1990,December 1990,
Parlour Games,Compile,Sega,,"December 27, 1987",May 1988,1990,
Penguin LandDoki Doki Penguin Land: Uchuu-DaiboukenJP,Sega,Sega,,"August 18, 1987",January 1988,1988,
PGA Tour Golf,Polygames,Tengen,,Unreleased,Unreleased,November 1993,
Phantasy Star,Sega,Sega,,"December 20, 1987",November 1988,1988,
Pit-Fighter,The Kremlin,Domark,,Unreleased,Unreleased,December 1992,
Pit Pot,Sega,Sega,,"December 14, 1985",Unreleased,October 1987,
Populous,TecMagik,TecMagik,,Unreleased,Unreleased,October 1991,
Poseidon Wars 3-D,Sega,Sega,,Unreleased,April 1989,1989,
Power StrikeAlesteJP,Compile,Sega,,"February 29, 1988",December 1988,1988,
Power Strike II,Compile,Sega,,Unreleased,Unreleased,September 1993,
Predator 2,Teeny Weeny Games,Arena Entertainment,,Unreleased,Unreleased,January 1993,
Prince of Persia,The Kremlin,Domark,,Unreleased,Unreleased,August 1992,
Pro WrestlingGokuaku Doumei Dump MatsumotoJP,Sega,Sega,,"July 20, 1986",December 1986,August 1987,
Psychic World,Sanritsu,Sega,,Unreleased,Unreleased,1991,
Psycho FoxSapo Xulé Vs Os Invasores do BrejoBR (1995),Vic Tokai,Sega,,Unreleased,"June 1, 1989",December 1989,
Putt & Putter,SIMS,Sega,,Unreleased,Unreleased,1992,
QuartetDouble TargetJP,Sega,Sega,,"January 18, 1987",April 1987,1987,
The Quest for the Shaven Yak Starring Ren Hoëk & Stimpy,Realtime Associates,Tec Toy,,Unreleased,Unreleased,Unreleased,1995
R-Type,Compile,Sega,,"October 1, 1988",December 1988,1988,
R.C. Grand Prix,Imagineering,Seismic Software NA  Sega EU/AU,,Unreleased,1990,May 1990,
Rainbow Islands,I.T.L,Sega,,Unreleased,Unreleased,June 1993,
Rambo: First Blood Part IISecret CommandEUAshuraJP,Sega,Sega,,"November 16, 1986",December 1986,October 1987,
Rambo III,Sega,Sega,,Unreleased,December 1988,1988,
Rampage,Sega,Activision NA Sega EU,,Unreleased,January 1989,July 1989,
Rampart,Developer Resources,Tengen,,Unreleased,Unreleased,December 1991,
Rastan,Taito,Sega,,Unreleased,April 1989,1989,
Reggie Jackson BaseballAmerican BaseballEU,Whiteboard,Sega,,Unreleased,March 1989,1989,
Renegade,Natsume,Sega,,Unreleased,Unreleased,1993,
Rescue Mission,Sega,Sega,,Unreleased,April 1988,March 1988,
Road Rash,Gary Priest,U.S. Gold,,Unreleased,Unreleased,March 1994,
RoboCop 3,Eden Entertainment,Flying Edge,,Unreleased,Unreleased,October 1993,
RoboCop Versus The Terminator,Virgin Interactive,Virgin Interactive,,Unreleased,Unreleased,December 1993,
Rocky,Sega,Sega,,"April 19, 1987",July 1987,August 1987,
Running Battle,Opera House,Sega,,Unreleased,Unreleased,October 1991,
Sagaia,Natsume,Sega,,Unreleased,Unreleased,June 1992,
Scramble Spirits,Arc System Works,Sega,,Unreleased,Unreleased,1989,
Sega Chess,Sega,Sega,,Unreleased,Unreleased,August 1991,
Sega World Tournament Golf,Sega,Sega,,Unreleased,Unreleased,1993,
Sensible Soccer,Eurocom,Sony Imagesoft,,Unreleased,Unreleased,1993,
Shadow Dancer,Sega,Sega,,Unreleased,Unreleased,November 1991,
Shadow of the Beast,TecMagik,TecMagik,,Unreleased,Unreleased,"November 21, 1991",
Shanghai,Sega,Sega,,Unreleased,October 1988,1988,
Shinobi,Sega,Sega,,"June 19, 1988",September 1988,1988,
Shooting Gallery,Sega,Sega,,Unreleased,March 1987,August 1987,
The Simpsons: Bart vs. the Space Mutants,Arc Developments,Flying Edge,,Unreleased,Unreleased,September 1992,
The Simpsons: Bart vs. the World,Arc Developments,Flying Edge,,Unreleased,Unreleased,May 1993,
Sítio do Picapau Amarelo,Tec Toy,Tec Toy,,Unreleased,Unreleased,Unreleased,August 1998
Slap Shot,Sanritsu,Sega,,Unreleased,1990,1990,
Smash TV,Probe Entertainment,Flying Edge,,Unreleased,Unreleased,October 1992,
The Smurfs,Bit Managers,Infogrames,,Unreleased,Unreleased,January 1995,
The Smurfs 2: Travel the World,Infogrames,Infogrames,,Unreleased,Unreleased,1996,
Snail Maze (Free Game built into Early Master System 1 Hardware),Sega,Sega,,"October 18, 1987",June 1986,September 1987,
Solomon no Kagi – Oujo Rihita no Namida,Aisystem Tokyo,Salio,,"April 17, 1988",Unreleased,Unreleased,
Sonic Blast,Aspect,Tec Toy,,Unreleased,Unreleased,Unreleased,December 1997
Sonic Chaos,Aspect,Sega,,Unreleased,Unreleased,"October 25, 1993",
Sonic Spinball,Sega Technical Institute,Sega,,Unreleased,Unreleased,"January 25, 1995",
Sonic the Hedgehog,Ancient,Sega,,Unreleased,"October 25, 1991","October 25, 1991",
Sonic the Hedgehog 2,SegaAspect,Sega,,Unreleased,Unreleased,"October 16, 1992",
Space Gun,"Cream Co., Ltd",Sega,,Unreleased,Unreleased,November 1992,
Space Harrier,Sega,Sega,,"December 21, 1986",March 1987,August 1987,
Space Harrier 3-D,Sega,Sega,,"February 29, 1988",July 1988,1988,
Special Criminal Investigation,Natsume,Sega,,Unreleased,Unreleased,November 1992,
Speedball,Bitmap Brothers,MirrorsoftVirgin Interactive,,Unreleased,Unreleased,March 1991,
Speedball 2,Bitmap Brothers,Virgin Interactive,,Unreleased,Unreleased,November 1992,
SpellCasterKujakuu OuJP,Sega,Sega,,"September 23, 1988",September 1989,1989,
Spider-Man: Return of the Sinister Six,B.I.T.S.,Flying Edge,,Unreleased,Unreleased,April 1993,
Spider-Man vs. The Kingpin,Sega,Sega,,Unreleased,August 1991,August 1991,
Spy vs. Spy,Sega,Sega,,"September 20, 1986",October 1988,August 1987,
Star Wars,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,September 1993,
Street Fighter II′: Champion Edition,Tec Toy,Tec Toy,,Unreleased,Unreleased,Unreleased,September 1997
Streets of Rage,Aspect,Sega,,Unreleased,Unreleased,"June 7, 1993",
Streets of Rage 2,Japan System House,Sega,,Unreleased,Unreleased,February 1994,
Strider,Tiertex Design Studios,Sega,,Unreleased,1991,November 1991,
Strider II,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,April 1993,
Submarine Attack,Sega,Sega,,Unreleased,Unreleased,1990,
Sukeban Deka II,Sega,Sega,,"April 19, 1986",Unreleased,Unreleased,
Summer Games,Zap Corporation,Sega,,Unreleased,Unreleased,November 1990,
Super Kick-Off,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,December 1991,
Super Monaco GP,Arc System Works,Sega,,Unreleased,September 1990,1990,
Super Off Road,Graftgold,U.S. Gold,,Unreleased,Unreleased,September 1993,
Super Racing,Sega,Sega,,"July 2, 1988",Unreleased,Unreleased,
Super Space Invaders,The Kremlin,Domark,,Unreleased,Unreleased,November 1991,
Super Tennis,Sega,Sega,,"December 22, 1985",December 1986,August 1987,
Superman: The Man of Steel,Graftgold,SegaVirgin Interactive,,Unreleased,Unreleased,June 1993,
Taz in Escape from Mars,Al Baker & Associates,Tec Toy,,Unreleased,Unreleased,Unreleased,March 1997
Taz-Mania,Technical Wave,Sega,,Unreleased,Unreleased,February 1993,
Tecmo World Cup '93,SIMS,Sega,,Unreleased,Unreleased,1993,
Teddy Boy,Sega,Sega,,"October 20, 1985",September 1986,November 1987,
Tennis Ace,Sanritsu,Sega,,Unreleased,Unreleased,1989,
Tensai Bakabon,Sega,Sega,,"June 2, 1988",Unreleased,Unreleased,
The Terminator,Probe Entertainment,Virgin Interactive,,Unreleased,Unreleased,August 1992,
Terminator 2: Judgment Day,Arc Developments,Flying Edge,,Unreleased,Unreleased,November 1993,
T2: The Arcade Game,Probe Software,Arena Entertainment,,Unreleased,Unreleased,1993,
Thunder Blade,Sega,Sega,,"July 30, 1988",October 1988,"November 5, 1988",
Time Soldiers,Alpha Denshi,Sega,,Unreleased,May 1989,May 1989,
Tom & Jerry: The Movie,SIMS,Sega,,Unreleased,Unreleased,"October 1, 1992",
TransBotAstro FlashJPNuclear CreatureBR,Sega,Sega,,"December 22, 1985",October 1986,August 1987,
Trivial Pursuit: Genus Edition,Domark,Domark,,Unreleased,Unreleased,September 1992,
Ultima IV: Quest of the Avatar,Sega,Sega,,Unreleased,Unreleased,December 1990,
Ultimate Soccer,Rage Software,Sega,,Unreleased,Unreleased,"August 2, 1993",
Vigilante,Arc System Works,Sega,,Unreleased,May 1989,1989,
Virtua Fighter Animation,Aspect,Tec Toy,,Unreleased,Unreleased,Unreleased,1997
Walter Payton FootballAmerican Pro FootballEU,Sega,Sega,,Unreleased,April 1989,1989,
Wanted!,Sanritsu,Sega,,Unreleased,August 1989,November 1989,
Where in the World is Carmen Sandiego?,Venture Technologies,Parker Brothers,,Unreleased,December 1988,Unreleased,
Wimbledon,SIMS,Sega,,Unreleased,Unreleased,August 1992,
Wimbledon 2,SIMS,Sega,,Unreleased,Unreleased,1993,
Winter Olympics: Lillehammer 94,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,1994,
Wolfchild,Core Design,Virgin Interactive,,Unreleased,Unreleased,October 1993,
Wonder Boy,Sega,Sega,,"March 22, 1987",June 1987,1987,
Wonder Boy in Monster LandMônica no Castelo do DragãoBR (1991),Sega,Sega,,"January 31, 1988",August 1988,1988,
Wonder Boy III: The Dragon's Trap,Westone,Sega,,Unreleased,September 1989,1989,
Wonder Boy in Monster World,Sega,Sega,,Unreleased,Unreleased,1993,
World Class Leader Board,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,October 1991,
World Cup Italia '90,Virgin MastertronicIng. Olivetti S.P.A.,Sega,,Unreleased,Unreleased,December 1990,
World Cup USA '94,Tiertex Design Studios,U.S. Gold,,Unreleased,Unreleased,"June 3, 1994",
World Games,Sega,Sega,,Unreleased,Unreleased,May 1990,
World Grand Prix,Sega,Sega,,"September 21, 1986",October 1986,November 1987,
WWF WrestleMania: Steel Cage Challenge,T.W. Games Ltd,Flying Edge,,Unreleased,Unreleased,July 1993,
X-Men 3: Mojo World,Sega,Tec Toy,,Unreleased,Unreleased,Unreleased,1996
Xenon 2 Megablast,Bitmap Brothers,Virgin Interactive,,Unreleased,Unreleased,October 1991,
Ys: The Vanished OmensYsJP,Sega,Sega,,"October 15, 1988",March 1989,1989,
Zaxxon 3-D,Sega,Sega,,"November 7, 1987",March 1988,November 1987,
ZillionAkai Koudan ZillionJP,Sega,Sega,,"May 24, 1987",November 1987,October 1987,
Zillion II: The Tri FormationTri FormationJP,Sega,Sega,,"December 13, 1987",July 1988,March 1988,
Zool,Gremlin Graphics Design,Gremlin Graphics Design,,Unreleased,Unreleased,February 1994,
