Boogerman: A Pick and Flick Adventure,Interplay,InterplayNA/PAL,Unreleased,"November 18, 1994",January 1995,
Boxing Legends of the RingChavez II MX,Sculptured Software,Electro Brain,Unreleased,October 1993,Unreleased,
Bram Stoker's Dracula,PsygnosisTraveller's Tales,Sony Imagesoft,Unreleased,July 1993,November 1993,
Brett Hull Hockey '95,Radical Entertainment,Accolade,Unreleased,1995,Unreleased,
Brian Lara Cricket,Audiogenic Software,Codemasters,Unreleased,Unreleased,1994,
Brian Lara Cricket '96Shane Warne Cricket AUS,Audiogenic Software,Codemasters,Unreleased,Unreleased,1996,
Brutal: Paws of Fury,Eurocom Entertainment Software,GameTek,Unreleased,December 1994,"October 1, 1994",
Bubba 'n' Stix,Core Design,Core DesignTengen,Unreleased,February 1994,April 1994,
Bubble And Squeak,Audiogenic SoftwareFox Williams,Sunsoft,Unreleased,March 1994,January 1995,
Bubsy in Claws Encounters of the Furred Kind,Al Baker & Associates,Accolade,Unreleased,July 1993,August 1993,
Bubsy 2,Accolade,Accolade,Unreleased,"October 15, 1994","October 21, 1994",
Buck Rogers: Countdown to Doomsday,Electronic Arts,Electronic Arts,Unreleased,December 1991[23],February 1992,
Budokan: The Martial Spirit,Electronic Arts,Electronic Arts,Unreleased,July 1990,December 1990,
Bugs Bunny in Double Trouble,Probe EntertainmentAtodClimax Studios,Sega,Unreleased,August 1996[25],"August 15, 1996",
Bulls vs. Blazers and the NBA PlayoffsNBA Playoffs: Bulls Vs. BlazersJP,Electronic Arts,Electronic ArtsNA/PALElectronic Arts VictorJP,"July 30, 1993","February 28, 1993",1993,
Bulls vs Lakers and the NBA PlayoffsNBA Pro Basketball: Bulls vs. Lakers and the NBA PlayoffsJP,Electronic Arts,Electronic ArtsNA/PALElectronic Arts VictorJP,"April 2, 1993",June 1992,September 1992,
Burning Force,Namco,Namco,"October 19, 1990",December 1990,December 1991,
Cadash,Cyclone System,Taito,Unreleased,June 1992[26],Unreleased,
Caesars Palace,Illusions Gaming Company,Virgin Games,Unreleased,December 1993,Unreleased,
Cal Ripken Jr. Baseball,Acme Interactive,Mindscape,Unreleased,December 1992[27],Unreleased,
Caliber .50,Visco,Mentrix Software,Unreleased,December 1991,Unreleased,
California Games,Novotrade,Sega,Unreleased,February 1992[28],December 1991,
Cannon Fodder,PanelComp,Virgin Games,Unreleased,Unreleased,January 1995,
Captain America and The Avengers,Data EastISCOOpera House,Data East NASega PAL,Unreleased,December 1992,April 1993,
Captain Planet,NovaLogic,Sega,Unreleased,Unreleased,"February 16, 1993",
Castle of Illusion Starring Mickey MouseI Love Mickey Mouse: Fushigi no Oshiro DaiboukenJP,Sega R&D2,Sega,"November 21, 1990","December 2, 1990",March 1991,
Castlevania: BloodlinesCastlevania: The New GenerationPALVampire KillerJP,Konami,Konami,"March 17, 1994","March 18, 1994","March 20, 1994",
Centurion: Defender of Rome,Bits of Magic,Electronic Arts,Unreleased,July 1991,June 1991,
Chakan: The Forever Man,Extended PlayNu Romantic Productions,Sega,Unreleased,"December 8, 1992[17]",February 1993,
Champions World Class Soccer,Park Place Productions,Flying EdgeNA/PALAcclaim JapanJP,"June 24, 1994",June 1994,1994,
Championship BowlingBoogie Woogie Bowling JP,Soft Machine,Mentrix SoftwareNAVisco CorporationJP,"December 17, 1993",June 1993,Unreleased,
Championship Pool,Bitmasters,Mindscape,Unreleased,December 1993,Unreleased,
Championship Pro-Am,Rare,Tradewest,Unreleased,December 1992[27],Unreleased,
The Chaos EngineSoldiers of FortuneNA,Graftgold,Spectrum HoloByteNAMicroProsePAL,Unreleased,November 1993,July 1994,
Chase H.Q. IISuper H.Q.JP,I.T.L,Taito,"October 23, 1992",November 1992[29],Unreleased,
Cheese Cat-Astrophe Starring Speedy Gonzales,Cryo Interactive,Sega,Unreleased,Unreleased,"March 1, 1995",
Chester Cheetah: Too Cool to Fool,System Vision,Kaneko,Unreleased,January 1993,Unreleased,
Chester Cheetah: Wild Wild Quest,Kaneko,Kaneko,Unreleased,February 1994,Unreleased,
Chi Chi's Pro Challenge GolfTop Pro Golf 2JP,Coconuts Japan,Soft VisionJPVirgin GamesNA,"June 26, 1993",July 1993,Unreleased,
Chibi Maruko-chan: Waku Waku Shopping,Namco,Namco,"January 14, 1992",Unreleased,Unreleased,
Chiki Chiki Boys,Visco,Sega,"October 16, 1992",December 1992,1992,
Chōkyūkai Miracle Nine,Sega CS,Sega,"July 21, 1995",Unreleased,Unreleased,
Chuck Rock,Core Design,Virgin Games,Unreleased,December 1991[30],September 1992,
Chuck Rock II: Son of Chuck,Core Design,Virgin GamesNA/JPCore DesignPAL,"June 24, 1994",September 1993,October 1993,
ClayFighter,Ringler Studios,Interplay,Unreleased,"June 23, 1994","January 1, 1995",
Cliffhanger,Malibu Interactive,Sony Imagesoft,Unreleased,November 1993,1993,
Clue,Sculptured Software,Parker Brothers,Unreleased,December 1992,Unreleased,
Coach K College Basketball,Hitmen Productions,Electronic Arts,Unreleased,March 1995,Unreleased,
College Football USA 96,High Score EntertainmentJim Simmons,Electronic Arts,Unreleased,"July 15, 1995",Unreleased,
College Football USA 97: The Road To New Orleans,High Score EntertainmentTiburon Entertainment,Electronic Arts,Unreleased,September 1996,Unreleased,
College Football's National Championship,BlueSky Software,Sega,Unreleased,"May 6, 1994",Unreleased,
College Football's National Championship II,BlueSky Software,Sega,Unreleased,Dec 1995,Unreleased,
College Slam,Iguana Entertainment,Acclaim Entertainment,Unreleased,March 1996,Unreleased,
ColumnsShapes and ColumnsBR,Sega R&D2,Sega,"June 30, 1990",September 1990,February 1991,
Columns IIIColumns III: Taiketsu! Columns WorldJP,Sega CSMinato Giken,SegaJPVic TokaiNA,"October 15, 1993",March 1994,Unreleased,
Combat Cars,Accolade,Accolade,Unreleased,June 1994,July 1994,
Comix Zone,Sega Technical Institute,Sega,"September 1, 1995","August 2, 1995","October 27, 1995",
Contra: Hard CorpsProbotector EUContra: The Hard CorpsJP,Konami,Konami,"September 15, 1994","August 8, 1994","October 14, 1994",
Cool Spot,Virgin Games,Virgin Games,"February 18, 1994",April 1993,May 1993,
Cosmic Spacehead,Supersonic Software,Codemasters,Unreleased,"November 2, 1993","November 2, 1993",
Crack Down,Hot B,SegaJP/PALSage's CreationNA,"December 20, 1990",March 1991,January 1991,
Crayon Shin-Chan: Arashi wo Yobu Enji,SIMS,Ma-Ba,"March 11, 1994",Unreleased,Unreleased,
CrossFireSuper AirwolfJP,A.I,Kyugo,"March 29, 1991",July 1991,Unreleased,
Crüe Ball,NuFX,Electronic ArtsNA/EUElectronic Arts VictorJP,"December 26, 1992",November 1992[20],September 1992,
Crusader of CentySoleilPALShin Souseiki RagnacentyJP,Nextech,SegaJP/PALAtlusNA,"June 17, 1994",March 1995,April 1995,
Crystal's Pony Tale,Artech Studios,Sega,Unreleased,"February 1, 1994",Unreleased,
Curse,Micronet,Micronet,"December 23, 1989",Unreleased,Unreleased,
Cutie Suzuki no Ringside Angel,Copya System,Asmik,"December 12, 1990",Unreleased,Unreleased,
Cutthroat Island,Software Creations,Acclaim Entertainment,Unreleased,June 1996,1996,
Cyberball,Sega R&D2,Sega,"July 28, 1990",July 1990,1990,
Cyber-CopCorporation EU,Core Design,Virgin Games,Unreleased,September 1992[29],September 1992,
Cyborg Justice,Novotrade,Sega,Unreleased,April 1993,April 1993,
Daffy Duck in Hollywood,Psionic Systems,Sega,Unreleased,Unreleased,1994,BR (1994)
Dahna: Megami Tanjō,IGS,IGS,"December 20, 1991",Unreleased,Unreleased,
Dangerous Seed,TOSE,Namco,"December 18, 1990",Unreleased,Unreleased,
Dark Castle,Artech Studios,Electronic Arts,Unreleased,December 1991,November 1991,
Darwin 4081,Sega R&D2,Sega,"April 7, 1990",Unreleased,Unreleased,
Dashin' Desperadoes,Data East,Data East,Unreleased,November 1993,Unreleased,
David Crane's Amazing Tennis,FarSight Technologies,Absolute Entertainment,Unreleased,January 1993[17],Unreleased,
David Robinson's Supreme CourtDavid Robinson BasketballJP,Acme Interactive,Sega,"July 10, 1992",June 1992[31],August 1992,
Davis Cup TennisDavis Cup World TourPALDavis CupJP,Loriciel,Tengen,"February 25, 1994",July 1993,October 1993,
Daze Before Christmas,Funcom,Sunsoft,Unreleased,Unreleased,1994,
Deadly MovesPower AthleteJP,System Vision,Kaneko,"December 11, 1992",March 1993,Unreleased,
The Death and Return of Superman,Blizzard Entertainment,SunsoftNAAcclaim EntertainmentPAL,Unreleased,January 1995,1995,
Death Duel,Punk Development,RazorSoft,Unreleased,September 1992[32],October 1992,
Decap Attack Magical Hat no Buttobi Tabo! DaibōkenJP,Vic Tokai,Sega,"December 15, 1990",September 1991,November 1991,
Demolition Man,"Alexandria, Inc.",Acclaim Entertainment,Unreleased,January 1995,August 1995,
Desert Demolition Starring Road Runner and Wile E. Coyote,BlueSky Software,Sega,Unreleased,February 1995,March 1995,
Desert Strike: Return to the GulfDesert Strike: Wangan SakusenJP,Electronic Arts,Electronic ArtsNA/PALElectronic Arts VictorJP,"April 23, 1993",March 1992[30],March 1992,
Devil's Course,T&E Soft,Sega,"January 28, 1994",Unreleased,Unreleased,
Devilish: The Next PossessionBad Omen JP,Aisystem Tokyo,Hot BJPSage's CreationNA,"April 24, 1992",April 1992[16],Unreleased,
Dick Tracy,Sega Technical Institute,Sega,"March 1, 1991",March 1991,April 1991,
"Dick Vitale's ""Awesome, Baby!"" College Hoops",Time Warner Interactive,Time Warner Interactive,Unreleased,Oct 1994,Unreleased,
Dino Dini's Soccer,Dini & Dini Productions,Virgin Interactive,Unreleased,Unreleased,1994,
Dino LandChou Touryuu Retsuden: Dino LandJP,Wolf Team,Telenet JapanJPRenovation ProductsNA,"August 2, 1991",November 1991,Unreleased,
Dinosaurs for Hire,Sega Interactive Development Division,Sega,Unreleased,October 1993,Unreleased,
Disney's Aladdin,Virgin Games,Sega,"November 12, 1993","November 11, 1993","November 11, 1993",
Disney's Pinocchio,Virgin Studios London,THQNADisney InteractivePAL,Unreleased,"November 12, 1996",October 1996,
Disney's Pocahontas,Funcom,Disney Interactive,Unreleased,March 1996[33],September 1996,
Disney's Bonkers,Sega Interactive Development Division,Sega,Unreleased,December 1994,April 1995,
DJ Boy,Inter State,SegaJP/PALKanekoNA,"May 19, 1990",July 1990,May 1992,
Donald in Maui Mallard,Eurocom,Sega,Unreleased,Unreleased,"December 8, 1995",
Doraemon: Yume Dorobou to 7-nin no Gozans,Sega CSG-SatNexus InteractWinds,Sega,"March 26, 1993",Unreleased,Unreleased,
Double Clutch,BGS Development,Sega,Unreleased,Unreleased,1993,
Double Dragon,Software Creations,Ballistic,Unreleased,April 1992[16],"April 29, 1992",
Double Dragon II: The Revenge,PAL Soft,PAL Soft,"December 20, 1991",Unreleased,Unreleased,
Double Dragon 3: The Arcade Game,Software Creations,Flying Edge,Unreleased,February 1992,February 1992,
Double Dragon V: The Shadow Falls,Leland Interactive Media,Tradewest,Unreleased,"August 5, 1994",Unreleased,
Double Dribble: The Playoff EditionHyper DunkPALHyper Dunk: The Playoff EditionJP,Konami,Konami,"March 4, 1994",April 1994,March 1994,
Dr. Robotnik's Mean Bean Machine,Compile,Sega,Unreleased,"November 26, 1993",January 1994,
Dragon Ball Z: Buyu RetsudenDragon Ball Z: L'Appel du Destin  FRDragon Ball Z POR,TOSE,Bandai,"April 1, 1994",Unreleased,1994,
Dragon Slayer: Eiyuu Densetsu,Sega Falcom,Sega,"September 16, 1994",Unreleased,Unreleased,
Dragon Slayer: Eiyuu Densetsu II,Sega Falcom,Sega,"January 20, 1995",Unreleased,Unreleased,
Dragon's Eye Plus: Shanghai III,Home Data,Home Data,"November 2, 1991",Unreleased,Unreleased,
Dragon's FuryDevil Crash MDJP,Technosoft,TechnosoftJPTengenNA/PAL,"October 10, 1991",July 1992,"September 24, 1992",
Dragon's Revenge,Tengen,Tengen,"December 10, 1993",December 1993,"January 14, 1994",
Dragon: The Bruce Lee Story,Virgin Interactive,Acclaim EntertainmentNAVirgin InteractiveEU,Unreleased,December 1994,June 1994,
The Duel: Test Drive II,Accolade,Ballistic,Unreleased,April 1992[16],"May 6, 1992",
Duke Nukem 3D,3D Realms,Tectoy,Unreleased,Unreleased,Unreleased,BR (1998)[34]
Dune: The Battle For ArrakisDune II: Battle for ArrakisPAL,Westwood Studios,Virgin Games,Unreleased,January 1994,June 1994,
Dungeons & Dragons: Warriors of the Eternal Sun,Westwood Associates,Sega,Unreleased,August 1992[35],1992,
Dyna Brothers,CRI,CSK,"July 24, 1992",Unreleased,Unreleased,
Dyna Brothers 2,CRI,CSK,"December 2, 1993",Unreleased,Unreleased,
Dynamite Duke,"SIMSHertz Co., Ltd.",Sega,"October 27, 1990",December 1990,April 1991,
Dynamite Headdy,Treasure,Sega,"August 5, 1994",September 1994,October 1994,
Earnest Evans,Wolf Team,Renovation Products,Unreleased,April 1992[16],Unreleased,
Earthworm Jim,Shiny Entertainment,Playmates InteractiveNAVirgin InteractiveEU,"December 1, 1995",October 1994,"November 11, 1994",
Earthworm Jim 2,Shiny Entertainment,Playmates InteractiveNAVirgin InteractiveEU,September 1996,"November 15, 1995","December 22, 1995",
Ecco Jr.,Novotrade,Sega,Unreleased,"August 15, 1995","December 11, 1995",
Ecco the Dolphin,Novotrade,Sega,"July 30, 1993","December 29, 1992[17]",December 1992,
Ecco: The Tides of TimeEcco the Dolphin IIJP,Novotrade,Sega,"August 26, 1994","August 25, 1994","August 27, 1994",
El Viento,Wolf Team,Telenet JapanJPRenovation ProductsNA,"September 20, 1991",November 1991[24],Unreleased,
Elemental Master,Technosoft,TechnosoftJPRenovation ProductsNA,"December 14, 1990",March 1993,Unreleased,
Eliminate Down,Aprinet,Soft Vision,"June 25, 1993",Unreleased,Unreleased,
ESPN Baseball Tonight,Park Place Productions,Sony Imagesoft,Unreleased,May 1994,Unreleased,
ESPN National Hockey Night,Park Place Productions,Sony Imagesoft,Unreleased,November 1994,Unreleased,
ESPN SpeedWorld,Park Place Productions,Sony Imagesoft,Unreleased,December 1994,Unreleased,
ESPN Sunday Night NFL,Ringler Studios,Sony Imagesoft,Unreleased,"August 1, 1994",Unreleased,
ESWAT: City Under SiegeCyber Police: ESWATJP,Sega R&D2,Sega,"July 14, 1990",October 1990,December 1990,
Eternal Champions,Sega Interactive Development Division,Sega,"February 18, 1994","December 11, 1993","January 16, 1994",
European Club SoccerWorld Trophy Soccer NAJ.League Champion Soccer JP,Krisalis SoftwareGame ArtsJP,Virgin GamesNA/PALShogakukan ProductionJP,"February 26, 1993",November 1992[29],July 1992,
"Evander Holyfield's ""Real Deal"" Boxing",Acme Interactive,Sega,"August 30, 1992","August 19, 1992[35]","September 24, 1992",
Ex-Mutants,Malibu Interactive,Sega,Unreleased,December 1992,"December 18, 1992",
ExileExile: Toki no Hazama e JP,Micro Factory,Telenet JapanJPRenovation ProductsNA,"December 6, 1991",February 1992[28],Unreleased,
Exo Squad,Novotrade,Playmates Interactive EntertainmentNAVirgin InteractiveEU,Unreleased,May 1995,1995,
F-1 Grand Prix: Nakajima Satoru Kanshuu,Varie,Varie,"December 20, 1991",Unreleased,Unreleased,
F-1 Super License: Nakajima Satoru Kanshuu,AprinetVarie,Varie,"December 11, 1992",Unreleased,Unreleased,
F-117 Night StormF-117 Stealth Operation: Night Storm JP,Electronic Arts,Electronic ArtsNA/PALElectronic Arts VictorJP,"May 27, 1994",December 1993,"December 23, 1993",
F-15 Strike Eagle II,MicroProse,MicroProse,Unreleased,June 1993,December 1993,
F-22 Interceptor,Electronic Arts,Electronic ArtsNA/PALElectronic Arts VictorJP,"February 12, 1993",September 1991[24],"November 21, 1991",
F1Formula OneNA,Lankhor,Domark,Unreleased,November 1993,"November 5, 1993",
F1 Circus MD,Micronics,Nichibutsu,"December 20, 1991",Unreleased,Unreleased,
F1 World Championship Edition,LankhorPeakstar SoftwareDomark,Domark,Unreleased,Unreleased,September 1995,
The Faery Tale Adventure,New World Computing,Electronic Arts,Unreleased,July 1991,1991,
Family Feud,Eurocom Entertainment Software,GameTek,Unreleased,December 1993,Unreleased,
FantasiaFantasia: Mickey Mouse MagicJP,Infogrames,Sega,"November 22, 1991",August 1991,August 1991,
Fantastic Dizzy,Chameleon Team,Codemasters,Unreleased,"September 21, 1993",October 1993,
Fastest 1,Human Entertainment,Human Entertainment,"June 28, 1991",Unreleased,Unreleased,
Fatal Fury: King of FightersGarou Densetsu: Shukumei no Tatakai JP,AspectGaibrain,TakaraNASegaJP/PAL,"April 23, 1993",February 1993,May 1993,
Fatal Fury 2Garou Densetsu 2: Aratanaru Tatakai JP,Aspect,TakaraNA/JPSegaPAL,"June 24, 1994",August 1994,1994,
Fatal Labyrinth,Sega CS,Sega,Unreleased,"August 21, 1991",1991,
Fatal RewindThe Killing Game Show JP,Raising Hell Productions,Electronic ArtsNA/PALElectronic Arts VictorJP,"August 20, 1993",October 1991,November 1991,
Férias Frustradas do Pica-Pau,Tectoy,Tectoy,Unreleased,Unreleased,Unreleased,BR (1996)[36]
Ferrari Grand Prix ChallengeF-1 Hero MD: Nakajima Satoru KanshuuJP,Aisystem Tokyo,Flying EdgeNA/PALVarieJP,"May 15, 1992",June 1992,September 1992,
FIFA 98: Road to World Cup,XYZ Productions,Electronic Arts,Unreleased,Unreleased,1997,
FIFA International Soccer,Extended Play Productions,Electronic ArtsNA/PALElectronic Arts VictorJP,"June 10, 1994",December 1993,"December 3, 1993",
FIFA Soccer 95,Extended Play Productions,Electronic Arts,Unreleased,"October 10, 1994",November 1994,
FIFA Soccer 96,Extended Play Productions,Electronic Arts,Unreleased,November 1995,"November 30, 1995",
FIFA Soccer '97FIFA 97EU,XYZ Productions,Electronic Arts,Unreleased,"March 20, 1997","April 4, 1997",
Fighting Masters,Almanic Corp.,Treco,"December 6, 1991",June 1992[26],Unreleased,
Final ZoneFZ Senki AxisJP,Wolf Team,Telenet JapanJPRenovation ProductsNA,"October 12, 1990",December 1990,Unreleased,
Fire Mustang,NMK,Taito,"May 31, 1991",Unreleased,Unreleased,
Fire SharkSame! Same! Same!JP,Toaplan,ToaplanJPDreamWorksNASegaPAL,"November 2, 1990",October 1990,December 1990,
Flashback: The Quest for Identity,Delphine Software,U.S. GoldNA/PALSunsoftJP,"December 29, 1993","February 20, 1993",June 1993,
Flicky,Sega CS,Sega,Unreleased,April 1991,September 1991,
Flink,Psygnosis,Sony Electronic Publishing,Unreleased,Unreleased,"November 11, 1994",
The Flintstones,Santos Ltd.,TaitoNA/JPSegaPAL,"November 19, 1993","February 22, 1993",June 1993,
Foreman For Real,Software Creations,Acclaim Entertainment,"November 27, 1995",September 1995,1995,
Forgotten Worlds,Sega R&D2,Sega,"November 18, 1989",December 1989,1990,
Frank Thomas Big Hurt Baseball,Iguana Entertainment,Acclaim Entertainment,Unreleased,"September 4, 1995",1995,
Frogger,Morning Star Multimedia,Majesco Sales,Unreleased,1998,Unreleased,
Fun 'n Games,Leland Interactive Media,Tradewest NASony Electronic Publishing PAL,Unreleased,December 1993,October 1994,
Fushigi no Umi no Nadia,Namco,Namco,"March 19, 1991",Unreleased,Unreleased,
G-LOC: Air Battle,Probe Software,Sega,"February 26, 1993",February 1993,"January 21, 1993",
